sale_month,sale_year,cpi_value,correction_term_dec_2004,geo_code,parcel,amt_Price,sale_date,year_built,HEATED,BATHS,BEDROOMS,neighborhood,distance,srn,offender_address_date,building_grade,offender,streetname,BQM1,BQM2,AIRCOND,HEIGHT,WALL,AGE,NEW,orig_distance,close_offender,post_move,close_post_move,neighbor_year,CNTLBQM1_2,CNTLBQM1_3,CNTLBQM1_4,CNTLBQM1_5,CNTLBQM1_6,CNTLWALL_2,CNTLWALL_3,CNTLWALL_4,CNTLWALL_5,CNTLWALL_6,CNTLWALL_7,CNTLWALL_8,CNTLWALL_9,CNTLWALL_10,CNTLHEIGHT_2,CNTLHEIGHT_3,CNTLHEIGHT_4,CNTLHEIGHT_5,CNTLHEIGHT_6,log_price,dist_post,post,srn_year,offdays
11,2000,168.60000610351562,1.1387900114059448,371190064005,00515417,179928.82180213928,2000-11-29,1997,1520,2,3,CORNELIUS,0.2620423436164856,006943S11,2001-12-27,b05,1, TOWNWOOD DR,2,5,1,1,"ALUM,VINYL",3,0,0.7861270308494568,0,0,0,1513,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.100317001342773,0,Pre,006943S11-2000,-393
3,2001,170.60000610351562,1.1254396438598633,371190064005,00515419,188511.1403465271,2001-03-27,1997,2110,2,3,CORNELIUS,0.2244261900583903,006943S11,2001-12-27,b05,1, TOWNWOOD DR,2,5,1,2,"ALUM,VINYL",4,0,0.6732785701751709,0,0,0,1514,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12.146912574768066,0,Pre,006943S11-2001,-275
9,2002,174.1999969482422,1.1021814346313477,371190064005,00515426,281056.26583099365,2002-09-27,1997,2356,3,5,CORNELIUS,0.1461409330368042,006943S11,2001-12-27,b05,1, TOWNWOOD DR,2,5,1,2,"ALUM,VINYL",5,0,0.4384227991104126,0,1,0,1515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12.546310424804688,0,Post,006943S11-2002,274
5,2000,166.6999969482422,1.1517696380615234,371190064005,00515427,194649.06883239746,2000-05-31,1997,1987,2,3,CORNELIUS,0.17464776833852133,006943S11,2001-12-27,b05,1, TOWNWOOD DR,2,5,1,1.5,"ALUM,VINYL",3,0,0.523943305015564,0,0,0,1513,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12.178953170776367,0,Pre,006943S11-2000,-575
3,2003,177.5,1.0816901922225952,371190064005,00515427,200112.68556118011,2003-03-28,1997,1987,2,3,CORNELIUS,0.17464776833852133,006943S11,2001-12-27,b05,1, TOWNWOOD DR,2,5,1,1.5,"ALUM,VINYL",6,0,0.523943305015564,0,1,0,1516,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12.206635475158691,0,Post,006943S11-2003,456
2,2000,164.8000030517578,1.165048599243164,371190064005,00515433,163106.80389404297,2000-02-25,1997,1468,2,3,CORNELIUS,0.31759993235270184,006943S11,2001-12-27,b05,1, TOWNWOOD DR,2,5,1,2,"ALUM,VINYL",3,0,0.9527997970581055,0,0,0,1513,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12.00216007232666,0,Pre,006943S11-2000,-671
3,2002,172.10000610351562,1.1156303882598877,371190064005,00516219,155072.6239681244,2002-03-27,1971,1750,2,3,PINE RIDGE DR AREA,0.2236713171005249,006943S11,2001-12-27,b03,1, FLORAL LN,2,3,1,2,"ALUM,VINYL",30,0,0.6710139513015747,0,1,0,5080,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.951648712158203,0,Post,006943S11-2002,90
9,2002,174.1999969482422,1.1021814346313477,371190064005,00516227,175797.93882369995,2002-09-30,1965,2425,3,4,PINE RIDGE DR AREA,0.20108912388483682,006943S11,2001-12-27,b03,1, FLORAL LN,2,3,1,1,FACE BRICK,30,0,0.6032673716545105,0,1,0,5080,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12.0770902633667,0,Post,006943S11-2002,277
9,2000,168.5,1.1394659280776978,371190064005,00516234,184593.48034858704,2000-09-29,1972,2324,3,3,WILLOW POND,0.2610093355178833,006943S11,2001-12-27,b04,1, LACEBARK DR,2,4,1,1,"CEDAR,RDWD",28,0,0.7830280065536499,0,0,0,7352,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.125911712646484,0,Pre,006943S11-2000,-454
10,2001,171.6999969482422,1.1182295083999634,371190064005,00516245,161584.1639637947,2001-10-15,1984,1566,2,3,WILLOW POND,0.2862744132677714,006943S11,2001-12-27,b04,1, LACEBARK DR,2,4,1,1,"CEDAR,RDWD",17,0,0.8588232398033142,0,0,0,7353,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.992781639099121,0,Pre,006943S11-2001,-73
