Country_NAME,Country_ISO,year,GDP_pc_Country,GINIW_pred_GDP_pc,COVW_pred_GDP_pc,GE_1W_pred_GDP_pc,GE_0W_pred_GDP_pc,GE_m1W_pred_GDP_pc
Portugal,PRT,1998,18438.421875,0.05547168105840683,0.09897772967815399,0.004968599881976843,0.005056913010776043,0.0051648300141096115
Portugal,PRT,1999,19308.162109375,0.05561395362019539,0.09868836402893066,0.004935520235449076,0.005019110161811113,0.005121984984725714
Portugal,PRT,2000,20066.509765625,0.053013309836387634,0.09420031309127808,0.0044922293163836,0.004562285728752613,0.004648237023502588
Portugal,PRT,2001,20418.23828125,0.05357792228460312,0.09554417431354523,0.004627516958862543,0.0047062840312719345,0.004802011884748936
Portugal,PRT,2002,20910.48828125,0.05480148270726204,0.09760267287492752,0.004827637225389481,0.0049086520448327065,0.0050075785256922245
Portugal,PRT,2003,20996.697265625,0.05657157301902771,0.1012115404009819,0.005203414708375931,0.005304854828864336,0.005428094416856766
Portugal,PRT,2004,20938.80859375,0.05334866791963577,0.09570781886577606,0.004640624858438969,0.004716956987977028,0.004810357932001352
Portugal,PRT,2005,22072.64453125,0.053651340305805206,0.09605119377374649,0.004669260233640671,0.004741146694868803,0.004829886835068464
Portugal,PRT,2006,23185.865234375,0.051481809467077255,0.09224589914083481,0.004312178120017052,0.004383643623441458,0.004470247775316238
Portugal,PRT,2007,23815.03125,0.05020751431584358,0.090078204870224,0.00412337901070714,0.004203162621706724,0.004297666251659393
Portugal,PRT,2008,24193.412109375,0.04895879328250885,0.08728271722793579,0.003860300173982978,0.003923163749277592,0.003998741507530212
Portugal,PRT,2009,24206.638671875,0.05241120234131813,0.09427186846733093,0.004501087125390768,0.004573761951178312,0.004662987310439348
Portugal,PRT,2010,24469.205078125,0.04748453572392464,0.0849718526005745,0.003665393218398094,0.003731277072802186,0.0038086900021880865
Portugal,PRT,2011,23672.669921875,0.049354441463947296,0.08862051367759705,0.003998283762484789,0.004083292558789253,0.0041832467541098595
Portugal,PRT,2012,22871.2578125,0.04848608002066612,0.08736656606197357,0.0038836849853396416,0.0039636301808059216,0.004057573154568672
Paraguay,PRY,1992,5331.2119140625,0.1502613127231598,0.278666615486145,0.03685498610138893,0.03578340634703636,0.03553219512104988
