code_Coutry_Region,Country_ISO,year,Latitude,Longitude,log_GDP_pc_Region,log_Light_ppix_Region,satyear_1,satyear_2,satyear_3,satyear_4,satyear_5,satyear_6,satyear_7
620,KAZ,1995,44.963615,77.95784,8.600776672363281,-1.1166025400161743,0,0,1,0,0,0,0
620,KAZ,2005,44.963615,77.95784,9.677716255187988,-1.1910138130187988,0,0,0,0,0,1,0
620,KAZ,2000,44.963615,77.95784,9.174776077270508,-1.5087697505950928,0,0,0,0,1,0,0
620,KAZ,2010,44.963615,77.95784,9.929787635803223,-0.4409622550010681,0,0,0,0,0,0,0
1086,ESP,2005,37.196014,-2.344765,10.165047645568848,1.8988507986068726,0,0,0,0,0,1,0
1086,ESP,2010,37.196014,-2.344765,10.072870254516602,2.3353371620178223,0,0,0,0,0,0,0
1086,ESP,2000,37.196014,-2.344765,10.07153034210205,1.8666086196899414,0,0,0,0,1,0,0
1086,ESP,1995,37.196014,-2.344765,9.702351570129395,1.701710820198059,0,0,1,0,0,0,0
350,FRA,1995,48.330466,7.435165,10.122511863708496,2.86348295211792,0,0,1,0,0,0,0
350,FRA,2005,48.330466,7.435165,10.243062019348145,2.8180010318756104,0,0,0,0,0,1,0
350,FRA,2000,48.330466,7.435165,10.26463508605957,2.8812344074249268,0,0,0,0,1,0,0
350,FRA,2010,48.330466,7.435165,10.298200607299805,3.4596171379089355,0,0,0,0,0,0,0
395,GTM,2005,15.643156,-90.146745,8.083393096923828,-0.8137065172195435,0,0,0,0,0,1,0
395,GTM,2008,15.643156,-90.146745,8.002791404724121,-0.7827488780021667,0,0,0,0,0,0,1
395,GTM,1995,15.643156,-90.146745,6.694918155670166,-1.4664207696914673,0,0,1,0,0,0,0
958,RUS,1995,50.732246,87.035634,8.279165267944336,-2.8063793182373047,0,0,1,0,0,0,0
958,RUS,2010,50.732246,87.035634,8.910497665405273,-1.7150555849075317,0,0,0,0,0,0,0
958,RUS,2000,50.732246,87.035634,7.860030174255371,-2.6363978385925293,0,0,0,0,1,0,0
958,RUS,2005,50.732246,87.035634,8.302266120910645,-2.601360559463501,0,0,0,0,0,1,0
