Country_ISO,year,pred_GDP_pc_Region,GDP_pc_Region,Light_Region,Light_Country,Pop_Region,Pop_Country
AUS,2000,25404.02734375,22968.904296875,51479.5,1901293,437307.34375,18639590
AUS,2005,27762.05078125,25718.611328125,40227,1653988,430438.375,19586020
AUS,2010,30455.5703125,28159.216796875,75170,2647748,421480.5,20479944
AUS,1995,25783.54296875,23535.90234375,375892,1941129,4348397,17601664
AUS,2000,28767.54296875,27691.37109375,371991,1901293,4612695,18639590
AUS,2005,31954.716796875,30541.251953125,340008.5,1653988,4853738,19586020
AUS,2010,34582.17578125,33070.890625,524035,2647748,5080905,20479944
AUS,1995,19601.33984375,33161.9921875,284481,1941129,1676687.5,17601664
AUS,2000,22038.611328125,36858.203125,288247.5,1901293,1796116.625,18639590
AUS,2005,24108.474609375,42889.40234375,241241,1653988,1908569.5,19586020
AUS,2010,26483.76171875,48819.61328125,423444,2647748,2017576.5,20479944
AUT,1995,24745.35546875,18730.283203125,46404,944435,286025.875,8029966
AUT,2000,28092.060546875,21745.14453125,52530.5,1025342,285223.9375,8060553.5
AUT,2005,29767.890625,23833.251953125,49101.5,988612.5,282022.6875,8019928
AUT,2010,32922.59765625,26344.35546875,98025,1818260,277198.71875,7929864
AUT,1995,23238.751953125,24931.16796875,70595,944435,558826.625,8029966
AUT,2000,26227.865234375,27929.091796875,75821.5,1025342,558492.625,8060553.5
AUT,2005,27755.591796875,29958.9296875,69156,988612.5,552973.125,8019928
AUT,2010,31689.41796875,32663.958984375,140984,1818260,543864.8125,7929864
AUT,1995,24957.232421875,23791.154296875,274357,944435,1819377.75,8029966
AUT,2000,29045.392578125,27649.662109375,297562.5,1025342,1835824.25,8060553.5
AUT,2005,30791.3046875,28499.650390625,269606.5,988612.5,1835804.875,8019928
AUT,2010,33823.01953125,32000.287109375,521052,1818260,1824052,7929864
AUT,1995,24690.501953125,27677.716796875,156301,944435,1371747.125,8029966
AUT,2000,27682.974609375,32448.599609375,156992,1025342,1378992.5,8060553.5
AUT,2005,29533.982421875,34672.2421875,155895.5,988612.5,1374404.75,8019928
AUT,2010,33755.703125,38284.5859375,303694,1818260,1361621.375,7929864
AUT,1995,23537.337890625,34268.37890625,60379,944435,506006.9375,8029966
AUT,2000,26929.0546875,38391.87109375,72942.5,1025342,516855.46875,8060553.5
AUT,2005,28788.099609375,39703.62890625,73661,988612.5,523335.90625,8019928
AUT,2010,32699.775390625,44483.765625,135665,1818260,526662.25,7929864
AUT,1995,24287.15625,24756.392578125,153025,944435,1207741,8029966
AUT,2000,27526.466796875,28692.890625,162747.5,1025342,1194161.375,8060553.5
