GDLcode,region,country,period,education,health,income,shdi_official,pop,region_country
BRAr123,Rio Grande do Sul,Brazil,Y2013,0.683,0.853,0.778,0.768,11280.1,Rio Grande do Sul (BRA)
BRAr123,Rio Grande do Sul,Brazil,Y2019,0.71,0.875,0.764,0.78,11842.0,Rio Grande do Sul (BRA)
BRAr124,Mato Grosso do Sul,Brazil,Y2013,0.671,0.84,0.767,0.756,2595.4,Mato Grosso do Sul (BRA)
BRAr124,Mato Grosso do Sul,Brazil,Y2019,0.697,0.862,0.754,0.768,2724.6,Mato Grosso do Sul (BRA)
BRAr125,Mato Grosso,Brazil,Y2013,0.658,0.847,0.758,0.75,3138.2,Mato Grosso (BRA)
BRAr125,Mato Grosso,Brazil,Y2019,0.683,0.869,0.744,0.762,3294.5,Mato Grosso (BRA)
BRAr126,Goias,Brazil,Y2013,0.671,0.847,0.774,0.761,6234.1,Goias (BRA)
BRAr126,Goias,Brazil,Y2019,0.697,0.869,0.76,0.772,6544.6,Goias (BRA)
BRAr127,Distrito Federal,Brazil,Y2013,0.775,0.877,0.795,0.814,2774.3,Distrito Federal (BRA)
BRAr127,Distrito Federal,Brazil,Y2019,0.807,0.899,0.781,0.827,2912.5,Distrito Federal (BRA)
CHLr101,Tarapaca (incl Arica and Parinacota),Chile,Y2013,0.832,0.923,0.815,0.855,502.7,Tarapaca (incl Arica and (CHL)
CHLr101,Tarapaca (incl Arica and Parinacota),Chile,Y2019,0.888,0.937,0.823,0.882,542.2,Tarapaca (incl Arica and (CHL)
CHLr102,Antofagasta,Chile,Y2013,0.844,0.883,0.83,0.852,574.9,Antofagasta (CHL)
CHLr102,Antofagasta,Chile,Y2019,0.894,0.896,0.838,0.875,620.1,Antofagasta (CHL)
CHLr103,Atacama,Chile,Y2013,0.751,0.939,0.809,0.83,295.2,Atacama (CHL)
CHLr103,Atacama,Chile,Y2019,0.802,0.953,0.817,0.855,318.4,Atacama (CHL)
CHLr104,Coquimbo,Chile,Y2013,0.712,0.924,0.793,0.805,704.3,Coquimbo (CHL)
