GDLcode,region,country,SubContinent,shdi2013,shdi2019,healthindex2013,healthindex2019,incindex2013,incindex2019,edindex2013,edindex2019,esch2013,esch2019,msch2013,msch2019,lifexp2013,lifexp2019,gnic2013,gnic2019,lgnic2013,lgnic2019,pop2013,pop2019
BOLr105,Potosi,Bolivia,South America,0.601000010000000,0.630999980000000,0.666000010000000,0.694000010000000,0.578000010000000,0.607999980000000,0.564000010000000,0.595000030000000,12.894000000000000,13.462999999999999,6.182000200000000,6.624000100000000,63.283000999999999,65.105002999999996,4579.881800000000112,5592.166000000000167,8.428999900000001,8.628999700000000,1111.798999999999978,1214.172000000000025
BOLr106,Tarija,Bolivia,South America,0.707000020000000,0.741000000000000,0.825999980000000,0.859000030000000,0.671999990000000,0.704000000000000,0.637000020000000,0.672999980000000,13.347000000000000,13.936000000000000,7.998000100000000,8.569000200000000,73.688004000000006,75.808998000000003,8527.289099999999962,10566.522999999999229,9.050999600000001,9.265000300000001,482.841000000000008,527.299999999999955
BOLr107,Santa Cruz,Bolivia,South America,0.741999980000000,0.777000010000000,0.830999970000000,0.864000020000000,0.698000010000000,0.731000010000000,0.703000010000000,0.742999970000000,13.576000000000001,14.175000000000001,9.789999999999999,10.490000000000000,74.036002999999994,76.167000000000002,10129.996999999999389,12603.826999999999316,9.222999600000000,9.442000400000000,2226.972000000000207,2432.027000000000044
BOLr108,Beni,Bolivia,South America,0.690999980000000,0.725000020000000,0.805999990000000,0.838000000000000,0.606000010000000,0.637000020000000,0.675000010000000,0.713000000000000,13.159000000000001,13.739000000000001,9.272999799999999,9.935999900000001,72.406998000000002,74.490996999999993,5517.436999999999898,6766.737799999999879,8.616000200000000,8.819999700000000,353.591000000000008,386.149000000000001
BOLr109,Pando,Bolivia,South America,0.708999990000000,0.742999970000000,0.792999980000000,0.824999990000000,0.639000000000000,0.671000000000000,0.702000020000000,0.741999980000000,13.170999999999999,13.752000000000001,10.077999999999999,10.798000000000000,71.574996999999996,73.635002000000000,6873.289999999999964,8473.585900000000038,8.835000000000001,9.045000099999999,62.094999999999999,67.811999999999998
BRAr101,Rondonia,Brazil,South America,0.727000000000000,0.737999980000000,0.845000030000000,0.866000000000000,0.718999980000000,0.705999970000000,0.633000020000000,0.656000020000000,14.872000000000000,15.067000000000000,6.596000200000000,7.131000000000000,74.899001999999996,76.306999000000005,11667.587999999999738,10710.265999999999622,9.364999800000000,9.279000300000000,1630.401000000000067,1711.612000000000080
BRAr102,Acre,Brazil,South America,0.708999990000000,0.718999980000000,0.823000010000000,0.843999980000000,0.688000020000000,0.675000010000000,0.629000010000000,0.652000010000000,14.734999999999999,14.929000000000000,6.586999900000000,7.120999800000000,73.470000999999996,74.849997999999999,9477.921899999999368,8716.808600000000297,9.156999600000001,9.073000000000000,745.842999999999961,782.994000000000028
BRAr103,Amazonas,Brazil,South America,0.730000020000000,0.741000000000000,0.838999990000000,0.860000010000000,0.704000000000000,0.690999980000000,0.658999980000000,0.684000020000000,15.023000000000000,15.220000000000001,7.243000000000000,7.829999900000000,74.505996999999994,75.905997999999997,10584.996999999999389,9725.155300000000352,9.267000200000000,9.182000199999999,3640.760000000000218,3822.106999999999971
BRAr104,Roraima,Brazil,South America,0.755000000000000,0.765999970000000,0.875000000000000,0.897000010000000,0.730000020000000,0.717000010000000,0.675000010000000,0.699999990000000,15.330000000000000,15.532000000000000,7.465000200000000,8.069999700000000,76.858001999999999,78.303000999999995,12515.818999999999505,11481.531000000000859,9.435000400000000,9.347999600000000,480.475999999999999,504.408000000000015
BRAr105,Para,Brazil,South America,0.712000010000000,0.722000000000000,0.824000000000000,0.846000020000000,0.688000020000000,0.675000010000000,0.637000020000000,0.660000030000000,15.077999999999999,15.276000000000000,6.532000100000000,7.060999900000000,73.585999000000001,74.969002000000003,9509.799800000000687,8745.859399999999368,9.159999800000000,9.076000199999999,8069.581000000000131,8471.528000000000247
BRAr106,Amapa,Brazil,South America,0.741000000000000,0.751999970000000,0.841000020000000,0.861999990000000,0.712000010000000,0.699000000000000,0.677999970000000,0.704999980000000,15.052000000000000,15.250000000000000,7.806000200000000,8.439000099999999,74.641998000000001,76.043998999999999,11165.483000000000175,10253.480999999999767,9.321000099999999,9.234999699999999,661.408000000000015,694.352999999999952
BRAr107,Tocantins,Brazil,South America,0.741999980000000,0.753000020000000,0.847000000000000,0.867999970000000,0.739000020000000,0.726000010000000,0.653999980000000,0.677999970000000,15.377000000000001,15.579000000000001,6.817999800000000,7.370999800000000,75.028000000000006,76.438004000000006,13300.079999999999927,12194.204999999999927,9.496000300000000,9.409000400000000,1487.665999999999940,1561.766000000000076
BRAr108,Maranhao,Brazil,South America,0.698000010000000,0.708000000000000,0.809000020000000,0.829999980000000,0.690000000000000,0.676999990000000,0.611000000000000,0.632000030000000,15.016000000000000,15.214000000000000,5.810999900000000,6.282000100000000,72.556999000000005,73.919998000000007,9635.155300000000352,8860.083000000000538,9.173000300000000,9.088999700000000,6861.354999999999563,7203.119999999999891
BRAr109,Piaui,Brazil,South America,0.708000000000000,0.717999990000000,0.787999990000000,0.809000020000000,0.713000000000000,0.699999990000000,0.630999980000000,0.653000000000000,15.765000000000001,15.972000000000000,5.802000000000000,6.271999800000000,71.236999999999995,72.574996999999996,11221.861999999999171,10304.781000000000859,9.326000199999999,9.239999800000000,3202.501999999999953,3362.018999999999778
BRAr110,Ceara,Brazil,South America,0.726000010000000,0.736999990000000,0.834999980000000,0.856999990000000,0.736000000000000,0.722999990000000,0.623000030000000,0.644999980000000,14.803000000000001,14.997999999999999,6.347000100000000,6.861000100000000,74.304001000000000,75.699996999999996,13047.941999999999098,11965.125000000000000,9.475999800000000,9.390000300000001,9096.875000000000000,9549.990999999999985
BRAr111,Rio Grande do Norte,Brazil,South America,0.742999970000000,0.754000010000000,0.824999990000000,0.846000020000000,0.759000000000000,0.745999990000000,0.654999970000000,0.680000010000000,15.335000000000001,15.537000000000001,6.882999900000000,7.441000000000000,73.624001000000007,75.008003000000002,15211.979999999999563,13930.019000000000233,9.630000100000000,9.541999799999999,3309.050999999999931,3473.875000000000000
BRAr112,Paraiba,Brazil,South America,0.728999970000000,0.739000020000000,0.824000000000000,0.845000030000000,0.744000020000000,0.731000010000000,0.632000030000000,0.653999980000000,15.358000000000001,15.560000000000000,6.152999900000000,6.652000000000000,73.568000999999995,74.950996000000004,13754.256999999999607,12606.746999999999389,9.529000300000000,9.442000400000000,3990.563000000000102,4189.332999999999629
BRAr113,Pernambuco,Brazil,South America,0.728999970000000,0.740000010000000,0.820999980000000,0.842999990000000,0.742999970000000,0.730000020000000,0.635999980000000,0.658999980000000,15.023999999999999,15.222000000000000,6.559000000000000,7.091000100000000,73.387000999999998,74.765998999999994,13694.347999999999956,12552.336999999999534,9.524999599999999,9.437999700000001,9340.128000000000611,9805.361000000000786
BRAr114,Alagoas,Brazil,South America,0.712000010000000,0.722000000000000,0.808000030000000,0.829000000000000,0.731000010000000,0.717999990000000,0.611000000000000,0.632000030000000,15.159000000000001,15.358000000000001,5.709000100000000,6.171999900000000,72.512000999999998,73.875000000000000,12634.047000000000480,11588.993000000000393,9.444000200000000,9.357999800000000,3184.409000000000106,3343.025000000000091
BRAr115,Sergipe,Brazil,South America,0.739000020000000,0.750000000000000,0.827000020000000,0.848999980000000,0.751999970000000,0.739000020000000,0.649999980000000,0.672999980000000,15.589000000000000,15.794000000000000,6.494999900000000,7.020999900000000,73.775002000000001,75.161002999999994,14518.292999999999665,13300.465000000000146,9.583000200000001,9.496000300000000,2183.250000000000000,2291.998000000000047
BRAr116,Bahia,Brazil,South America,0.727999990000000,0.739000020000000,0.822000030000000,0.842999990000000,0.735000010000000,0.721000020000000,0.639000000000000,0.662000000000000,15.295999999999999,15.497000000000000,6.429999800000000,6.951000200000000,73.432998999999995,74.813004000000006,12938.869000000000597,11866.013999999999214,9.468000399999999,9.380999600000001,14782.170000000000073,15518.471999999999753
BRAr117,Minas Gerais,Brazil,South America,0.754000010000000,0.764999990000000,0.846000020000000,0.867999970000000,0.773000000000000,0.759000000000000,0.654999970000000,0.680000010000000,15.125999999999999,15.324999999999999,7.058000100000000,7.630000100000000,74.985000999999997,76.393996999999999,16644.388999999999214,15229.179000000000087,9.720000300000001,9.630999600000001,20479.526999999998225,21499.615000000001601
BRAr118,Espirito Santo,Brazil,South America,0.755999980000000,0.767000020000000,0.836000030000000,0.856999990000000,0.773999990000000,0.760999980000000,0.667000000000000,0.693000020000000,15.012000000000000,15.210000000000001,7.511000200000000,8.119999900000000,74.322997999999998,75.720000999999996,16818.548999999999069,15387.066999999999098,9.729999500000000,9.640999799999999,3676.947000000000116,3860.096000000000004
BRAr119,Rio de Janeiro,Brazil,South America,0.782000010000000,0.794000030000000,0.865000010000000,0.887000020000000,0.774999980000000,0.762000020000000,0.713000000000000,0.741999980000000,15.503000000000000,15.707000000000001,8.472000100000001,9.159000400000000,76.193000999999995,77.625000000000000,16954.634999999998399,15510.426999999999680,9.737999900000000,9.649000200000000,17084.030999999999040,17934.989000000001397
BRAr120,Sao Paulo,Brazil,South America,0.778999980000000,0.791000010000000,0.857999980000000,0.880000000000000,0.790000020000000,0.777000010000000,0.695999980000000,0.723999980000000,15.170000000000000,15.369999999999999,8.250000000000000,8.918999700000001,75.800003000000004,77.224997999999999,18701.238000000001193,17092.927999999999884,9.836000400000000,9.746000300000000,43439.838000000003376,45603.582000000002154
BRAr121,Parana,Brazil,South America,0.763000010000000,0.773999990000000,0.842999990000000,0.865000010000000,0.778999980000000,0.764999990000000,0.675000010000000,0.700999980000000,15.289000000000000,15.490000000000000,7.520000000000000,8.130000100000000,74.792998999999995,76.198997000000006,17357.868999999998778,15875.903000000000247,9.762000100000000,9.673000300000000,11091.150999999999840,11643.602000000000771
BRAr122,Santa Catarina,Brazil,South America,0.768000010000000,0.779999970000000,0.852999990000000,0.875000000000000,0.782000010000000,0.768999990000000,0.677999970000000,0.704000000000000,15.025000000000000,15.222000000000000,7.816000000000000,8.449000399999999,75.439003000000000,76.857001999999994,17764.728999999999360,16244.584999999999127,9.784999800000000,9.696000099999999,6571.863999999999578,6899.208999999999833
BRAr123,Rio Grande do Sul,Brazil,South America,0.768000010000000,0.779999970000000,0.852999990000000,0.875000000000000,0.778000000000000,0.764000000000000,0.683000030000000,0.709999980000000,15.272000000000000,15.473000000000001,7.770000000000000,8.399999599999999,75.445999000000000,76.863997999999995,17230.115000000001601,15760.120999999999185,9.753999700000000,9.664999999999999,11280.125000000000000,11841.988999999999578
BRAr124,Mato Grosso do Sul,Brazil,South America,0.755999980000000,0.768000010000000,0.839999970000000,0.861999990000000,0.767000020000000,0.754000010000000,0.671000000000000,0.697000030000000,15.131000000000000,15.330000000000000,7.511000200000000,8.119999900000000,74.602997000000002,76.004997000000003,16040.824000000000524,14681.890999999999622,9.682999600000000,9.593999900000000,2595.373999999999796,2724.648999999999887
BRAr125,Mato Grosso,Brazil,South America,0.750000000000000,0.762000020000000,0.847000000000000,0.869000020000000,0.758000020000000,0.744000020000000,0.657999990000000,0.683000030000000,15.095000000000001,15.292999999999999,7.159999800000000,7.739999800000000,75.082999999999998,76.494003000000006,15084.816000000000713,13814.631999999999607,9.621000300000000,9.532999999999999,3138.170000000000073,3294.483000000000175
BRAr126,Goias,Brazil,South America,0.760999980000000,0.772000010000000,0.847000000000000,0.869000020000000,0.773999990000000,0.759999990000000,0.671000000000000,0.697000030000000,15.430000000000000,15.632999999999999,7.280000200000000,7.869999900000000,75.063004000000006,76.473999000000006,16767.798999999999069,15341.060999999999694,9.727000200000001,9.637999499999999,6234.122999999999593,6544.645999999999731
