former_dis,dist,year,div,yld,pop91,rainm,rainsd,jamuna_m,padma_m,treat,smp1,treatd,mdist,lmdist,lpop91,lrainm,lrainsd,p,ipw1,ipw2,lyld,D_lyld,lpop91_t,lmdist_t,post,sr,lr,treat_post,treat_sr,treat_lr,band,dm_near,sr_near,lr_near,tsr_near,tlr_near,dm_mid,sr_mid,lr_mid,tsr_mid,tlr_mid,dm_far,sr_far,lr_far,tsr_far,tlr_far
7,7,6,5.0,3.498872512043043,83540100.0,59.177338,66.025604,212285.6,328841.7,1,1.0,0.0,212.2856,0.5362632,18.24083731406395,4.0805387,4.1900425,0.5028051661391957,1.0,1.0,1.2524407771810468,0.14991060984025917,109.44502388438369,3.2175794,1,0,1,1.0,0.0,1.0,far,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
7,7,7,5.0,3.8548888888888886,83540100.0,55.393288,62.928974,212285.6,328841.7,1,1.0,0.0,212.2856,0.5362632,18.24083731406395,4.0144587,4.142007,0.5028051661391957,1.0,1.0,1.3493421840029978,0.09690140682195092,127.68586119844764,3.7538426,1,0,1,1.0,0.0,1.0,far,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
7,7,8,5.0,3.780888888888889,83540100.0,55.894802,62.230885,212285.6,328841.7,1,1.0,0.0,212.2856,0.5362632,18.24083731406395,4.0234714,4.1308513,0.5028051661391957,1.0,1.0,1.3299591377774187,-0.01938304622557907,145.9266985125116,4.290106,1,0,1,1.0,0.0,1.0,far,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
8,8,1,3.0,3.313923368217268,114150120.0,50.209595,45.629272,122703.76,44645.977,0,0.0,0.0,44.645977,0.38209155,18.553024982187882,3.9162061,3.8205495,,,,1.1981327950850142,,18.553024982187882,0.38209155,0,0,0,0.0,0.0,0.0,near,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,2,3.0,3.1495300269462185,114150120.0,48.96043,46.284405,122703.76,44645.977,0,0.0,0.0,44.645977,0.38209155,18.553024982187882,3.8910124,3.834805,,,,1.1472532439115923,-0.05087955117342191,37.106049964375764,0.7641831,0,0,0,0.0,0.0,0.0,near,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,3,3.0,3.021069555931248,114150120.0,46.380196,43.681225,122703.76,44645.977,0,0.0,0.0,44.645977,0.38209155,18.553024982187882,3.8368726,3.7769184,,,,1.1056109262809095,-0.041642317630682824,55.65907494656365,1.1462747,0,0,0,0.0,0.0,0.0,near,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,4,3.0,3.5192037197476576,114150120.0,52.85551,51.336643,122703.76,44645.977,0,0.0,0.0,44.645977,0.38209155,18.553024982187882,3.967562,3.9384048,,,,1.2582347480385323,0.1526238217576228,74.21209992875153,1.5283662,1,1,0,0.0,0.0,0.0,near,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,5,3.0,3.8356290786345246,114150120.0,51.356438,47.55432,122703.76,44645.977,0,0.0,0.0,44.645977,0.38209155,18.553024982187882,3.9387903,3.8618727,,,,1.3443334575165722,0.08609870947803988,92.7651249109394,1.9104577,1,1,0,0.0,0.0,0.0,near,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,6,3.0,3.95363092396196,114150120.0,56.367207,54.560394,122703.76,44645.977,0,0.0,0.0,44.645977,0.38209155,18.553024982187882,4.0318875,3.9993083,,,,1.3746343779440897,0.03030092042751753,111.3181498931273,2.2925494,1,0,1,0.0,0.0,0.0,near,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,7,3.0,4.017333333333333,114150120.0,47.88025,44.873276,122703.76,44645.977,0,0.0,0.0,44.645977,0.38209155,18.553024982187882,3.8687031,3.8038425,,,,1.390618332599945,0.015983954655855337,129.87117487531518,2.674641,1,0,1,0.0,0.0,0.0,near,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,8,3.0,4.336266666666667,114150120.0,50.37916,49.308495,122703.76,44645.977,0,0.0,0.0,44.645977,0.38209155,18.553024982187882,3.9195776,3.8980963,,,,1.467013762861266,0.076395430261321,148.42419985750306,3.0567324,1,0,1,0.0,0.0,0.0,near,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,1,4.0,3.0819705380944384,99263220.0,43.975227,41.72976,134053.0,97950.44,0,0.0,0.0,97.95044,0.45946193,18.41328566765382,3.7836266,3.7312145,0.4875258990089156,1.1415817456517212,1.406109096679529,1.1255691775058472,,18.41328566765382,0.45946193,0,0,0,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,2,4.0,2.9782100723915366,99263220.0,42.736824,41.452282,134053.0,97950.44,0,0.0,0.0,97.95044,0.45946193,18.41328566765382,3.755061,3.7245429,0.4875258990089156,1.1415817456517212,1.406109096679529,1.0913224732082514,-0.0342467042975958,36.82657133530764,0.91892385,0,0,0,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,3,4.0,2.8879463170512913,99263220.0,40.697872,38.673206,134053.0,97950.44,0,0.0,0.0,97.95044,0.45946193,18.41328566765382,3.7061758,3.655147,0.4875258990089156,1.1415817456517212,1.406109096679529,1.060545632579177,-0.030776840629074487,55.23985700296146,1.3783858,0,0,0,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
