geocode,year,mn,div,dist,pop91,rainm,rainsd,jamuna_m,padma_m,treat,smp1,treatd,mdist,lmdist,lpop91,lrainm,lrainsd,p,ipw1,ipw2,ipw3,ipw4,lmn,D_lmn,lpop91_t,lmdist_t,post,sr,lr,treat_post,treat_sr,treat_lr,band,dm_near,sr_near,lr_near,tsr_near,tlr_near,dm_mid,sr_mid,lr_mid,tsr_mid,tlr_mid,dm_far,sr_far,lr_far,tsr_far,tlr_far
10447,1,1.0333333,1.0,4.0,108350.0,63.399235,62.62426,230616.36,119056.375,0,0.0,0.0,119.05637,4.7879615,11.593122006964505,4.1651015,4.1371527,0.4944997605776621,0.9861274495978315,1.1245100317395136,0.9861274495978315,1.1245100317395136,0.70967644,,11.593122006964505,4.7879615,0,0,0,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10447,2,1.0766666,1.0,4.0,108350.0,55.90219,55.130154,230616.36,119056.375,0,0.0,0.0,119.05637,4.7879615,11.593122006964505,4.0413337,4.009697,0.4944997605776621,0.9861274495978315,1.1245100317395136,0.9861274495978315,1.1245100317395136,0.73076403,0.021087587,23.18624401392901,9.575923,0,0,0,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10447,3,1.0274999,1.0,4.0,108350.0,59.75582,61.99453,230616.36,119056.375,0,0.0,0.0,119.05637,4.7879615,11.593122006964505,4.106863,4.127046,0.4944997605776621,0.9861274495978315,1.1245100317395136,0.9861274495978315,1.1245100317395136,0.70680344,-0.02396059,34.77936602089351,14.363884,1,1,0,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10447,4,1.0699999,1.0,4.0,108350.0,57.461597,53.454224,230616.36,119056.375,0,0.0,0.0,119.05637,4.7879615,11.593122006964505,4.06837,3.9788256,0.4944997605776621,0.9861274495978315,1.1245100317395136,0.9861274495978315,1.1245100317395136,0.7275486,0.020745158,46.37248802785802,19.151846,1,1,0,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10447,5,1.0233333,1.0,4.0,108350.0,61.612953,61.23772,230616.36,119056.375,0,0.0,0.0,119.05637,4.7879615,11.593122006964505,4.136972,4.1147633,0.4944997605776621,0.9861274495978315,1.1245100317395136,0.9861274495978315,1.1245100317395136,0.7047463,-0.022802293,57.965610034822525,23.939808,1,0,1,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10447,6,1.0133333,1.0,4.0,108350.0,54.44788,54.332905,230616.36,119056.375,0,0.0,0.0,119.05637,4.7879615,11.593122006964505,4.0154433,3.99513,0.4944997605776621,0.9861274495978315,1.1245100317395136,0.9861274495978315,1.1245100317395136,0.6997917,-0.0049545765,69.55873204178702,28.727768,1,0,1,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10447,7,1.02,1.0,4.0,108350.0,59.28074,61.789078,230616.36,119056.375,0,0.0,0.0,119.05637,4.7879615,11.593122006964505,4.099013,4.123727,0.4944997605776621,0.9861274495978315,1.1245100317395136,0.9861274495978315,1.1245100317395136,0.7030975,0.0033057928,81.15185404875153,33.51573,1,0,1,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10485,1,1.0866667,1.0,4.0,135050.0,55.28227,54.21879,256797.34,150101.73,0,0.0,0.0,150.10173,5.0179534,11.813400359220761,4.03038,3.9930274,0.5541782418621861,1.2530734784356388,1.3684334866306709,1.2530734784356388,1.3684334866306709,0.73556787,,11.813400359220761,5.0179534,0,0,0,0.0,0.0,0.0,far,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10485,2,1.15,1.0,4.0,135050.0,49.44906,49.11148,256797.34,150101.73,0,0.0,0.0,150.10173,5.0179534,11.813400359220761,3.920964,3.8940928,0.5541782418621861,1.2530734784356388,1.3684334866306709,1.2530734784356388,1.3684334866306709,0.7654679,0.029900014,23.626800718441523,10.035907,0,0,0,0.0,0.0,0.0,far,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10485,3,1.1925,1.0,4.0,135050.0,52.5954,53.444427,256797.34,150101.73,0,0.0,0.0,150.10173,5.0179534,11.813400359220761,3.9814632,3.9786425,0.5541782418621861,1.2530734784356388,1.3684334866306709,1.2530734784356388,1.3684334866306709,0.7850425,0.019574642,35.44020107766228,15.05386,1,1,0,0.0,0.0,0.0,far,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
