table,outcome,estimator,term,stata_coef,stata_se,python_coef,python_se,abs_diff_coef,abs_diff_se,match_coef,match_se,match_flag
T2,sserv,LWDR,LR,0.024,0.008,0.023627004475910166,0.007647415710422626,0.000372995524089835,0.00035258428957737377,True,True,exact
T2,sserv,LWDR,SR,0.02,0.005,0.020397512205585333,0.005112322357673253,0.00039751220558533265,0.00011232235767325276,True,True,exact
T2,sserv,OLS,LR,0.018,0.007,0.01755596607394635,0.007299074428265205,0.00044403392605365036,0.0002990744282652053,True,True,exact
T2,sserv,OLS,SR,0.017,0.005,0.017392943869996187,0.005296058980102287,0.00039294386999618597,0.00029605898010228674,True,True,exact
T3,Electricity,KOBDR,LR,0.036,0.047,0.03555850564895053,0.047092774085931724,0.0004414943510494679,9.277408593172387e-05,True,True,exact
T3,Electricity,KOBDR,SR,-0.057,0.06,-0.056907269573829154,0.06031201037428451,9.273042617084781e-05,0.00031201037428451456,True,True,exact
T4,D_lmn,KOBDR,LR_far,0.038,0.022,0.03842299881827059,0.022412537326304167,0.000422998818270591,0.00041253732630416873,True,True,exact
T4,D_lmn,KOBDR,LR_mid,0.028,0.025,0.027545760497910438,0.024673849744898415,0.000454239502089563,0.00032615025510158643,True,True,exact
T4,D_lmn,KOBDR,LR_near,0.011,0.024,0.01136346815540177,0.024126650244845053,0.00036346815540177005,0.00012665024484505294,True,True,exact
T4,D_lmn,KOBDR,SR_far,0.031,0.032,0.030768581164615186,0.03195094707886663,0.000231418835384814,4.9052921133371785e-05,True,True,exact
T4,D_lmn,KOBDR,SR_mid,0.043,0.035,0.04314680261601384,0.03513086982595175,0.00014680261601384553,0.00013086982595174323,True,True,exact
T4,D_lmn,KOBDR,SR_near,-0.015,0.031,-0.014510362380435415,0.030801622211974748,0.0004896376195645848,0.00019837778802525227,True,True,exact
T4,D_lyld,KOBDR,LR_far,0.344,0.091,0.34414356612223673,0.09024650627074648,0.00014356612223676013,0.0007534937292535127,True,False,coef only
