geocode,year,div,dist,pop,emp,pop_agr,pop_ind,pop_serv,density,pop91,rainm,rainsd,surban,prop_elec,jamuna_m,padma_m,treat,smp1,treatd,mdist,lmdist,lpop91,lrainm,lrainsd,p,ipw1,ipw2,ipw3,ipw4,ldensity,sind,sserv,sagr,lagr,lpop91_t,lmdist_t,post,sr,lr,treat_post,treat_sr,treat_lr,band,dm_near,sr_near,lr_near,tsr_near,tlr_near,dm_mid,sr_mid,lr_mid,tsr_mid,tlr_mid,dm_far,sr_far,lr_far,tsr_far,tlr_far
10610,2,1.0,6.0,152500.0,29800.0,18140.0,500.0,11160.0,1187.8796,143760.0,56.435066,54.0984,0.09895082,0.25510836,179855.48,68563.28,0,0.0,0.0,68.56328,4.2422366,11.87590052145744,4.0330906,3.9908047,0.4144044574242226,0.7191699913430989,0.7557662462377697,0.7191699913430989,0.7557662462377697,7.079925,0.016778523489932886,0.374496644295302,0.6087248322147651,9.805874723669127,23.75180104291488,8.484473,1,1,0,0.0,0.0,0.0,near,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10610,3,1.0,6.0,148520.0,40660.0,21220.0,3320.0,16120.0,1156.8779,143760.0,52.85891,55.742012,0.10853757,0.45918366,179855.48,68563.28,0,0.0,0.0,68.56328,4.2422366,11.87590052145744,3.9676263,4.0207343,0.4144044574242226,0.7191699913430989,0.7557662462377697,0.7191699913430989,0.7557662462377697,7.05348,0.08165272995573045,0.396458435809149,0.5218888342351206,9.962699412167973,35.62770156437232,12.726709,1,0,1,0.0,0.0,0.0,near,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10632,1,1.0,6.0,171150.0,36770.0,25990.0,960.0,9820.0,1183.6919,171150.0,62.35475,47.86212,0.17020158,0.10918817,165449.67,49988.82,0,0.0,0.0,49.98882,3.9316063,12.050295643958332,4.1328397,3.8683245,0.3724666647708067,0.6031919135665004,0.5554044686558903,0.6031919135665004,0.5554044686558903,7.0763936,0.026108240413380474,0.2670655425618711,0.7068262170247485,10.165467127635536,12.050295643958332,3.9316063,0,0,0,0.0,0.0,0.0,near,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10632,2,1.0,6.0,180550.0,38070.0,25430.0,700.0,11940.0,1248.7032,171150.0,56.236702,53.716114,0.2113542,0.33866242,165449.67,49988.82,0,0.0,0.0,49.98882,3.9316063,12.050295643958332,4.0295696,3.9837132,0.3724666647708067,0.6031919135665004,0.5554044686558903,0.6031919135665004,0.5554044686558903,7.129861,0.018387181507748884,0.3136327817178881,0.667980036774363,10.143684858416165,24.100591287916664,7.8632126,1,1,0,0.0,0.0,0.0,near,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10632,3,1.0,6.0,189180.0,48200.0,28580.0,5880.0,13740.0,1308.3893,171150.0,52.229805,54.68747,0.21619621,0.5919153,165449.67,49988.82,0,0.0,0.0,49.98882,3.9316063,12.050295643958332,3.9556534,4.0016346,0.3724666647708067,0.6031919135665004,0.5554044686558903,0.6031919135665004,0.5554044686558903,7.1765523,0.12199170124481327,0.2850622406639004,0.5929460580912863,10.260462451483859,36.15088693187499,11.794819,1,0,1,0.0,0.0,0.0,near,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10636,1,1.0,6.0,167340.0,39550.0,33900.0,140.0,5510.0,6116.228,167340.0,63.13578,49.42469,0.060356162,0.014214876,166062.22,47966.0,0,0.0,0.0,47.966,3.8911262,12.02778294984959,4.1452875,3.9004502,0.36373484061644795,0.580967263124833,0.5166993120768888,0.580967263124833,0.5166993120768888,8.7187,0.0035398230088495575,0.1393173198482933,0.8571428571428571,10.431170293368542,12.02778294984959,3.8911262,0,0,0,0.0,0.0,0.0,near,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10636,2,1.0,6.0,175280.0,37500.0,31490.0,370.0,5640.0,6406.4326,167340.0,58.732224,56.440853,0.07673437,0.1704049,176495.69,58444.78,0,0.0,0.0,58.444782,4.0850477,12.02778294984959,4.0729885,4.033193,0.36373484061644795,0.580967263124833,0.5166993120768888,0.580967263124833,0.5166993120768888,8.765058,0.009866666666666666,0.1504,0.8397333333333333,10.357425314095071,24.05556589969918,8.170095,1,1,0,0.0,0.0,0.0,near,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10636,3,1.0,6.0,145540.0,37520.0,29420.0,3120.0,4980.0,5319.4443,167340.0,54.56846,57.18166,0.09523155,0.41322854,166062.22,47966.0,0,0.0,0.0,47.966,3.8911262,12.02778294984959,3.999456,4.046233,0.36373484061644795,0.580967263124833,0.5166993120768888,0.580967263124833,0.5166993120768888,8.579124,0.08315565031982942,0.13272921108742003,0.7841151385927505,10.289429994155428,36.08334884954877,11.673378,1,0,1,0.0,0.0,0.0,near,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10651,1,1.0,6.0,413890.0,67330.0,25380.0,3170.0,38780.0,1763.4102,413890.0,64.68644,50.73572,0.49353692,0.35806933,201149.45,83417.125,0,0.0,0.0,83.41712,4.43577,12.933355517019733,4.1695514,3.9266303,0.5351219090136256,1.1698186875445138,1.2052484492101803,1.1698186875445138,1.2052484492101803,7.4750047,0.04708153869003416,0.5759691073815535,0.3769493539284123,10.141716741268379,12.933355517019733,4.43577,0,0,0,0.0,0.0,0.0,near,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10651,2,1.0,6.0,464900.0,78800.0,30060.0,3610.0,45130.0,1980.7422,413890.0,57.455856,55.238537,0.5079372,0.63222784,201149.45,83417.125,0,0.0,0.0,83.41712,4.43577,12.933355517019733,4.051017,4.011661,0.5351219090136256,1.1698186875445138,1.2052484492101803,1.1698186875445138,1.2052484492101803,7.591227,0.04581218274111675,0.5727157360406091,0.38147208121827414,10.310950663306965,25.866711034039465,8.87154,1,1,0,0.0,0.0,0.0,near,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
