response,cum.response,point.pred,point.pred.lower,point.pred.upper,cum.pred,cum.pred.lower,cum.pred.upper,point.effect,point.effect.lower,point.effect.upper,cum.effect,cum.effect.lower,cum.effect.upper,year
120.19999694824219,1368.2999954223633,121.3737038620384,110.50230631816265,132.73764242258477,1368.2999954223633,1368.2999954223633,1368.2999954223633,-1.1737069137962095,-12.537645474342582,9.697690630079535,0,0,0,1980
118.5999984741211,1486.8999938964844,119.12797967031192,109.33801171351973,128.9745901021444,1486.8999938964844,1486.8999938964844,1486.8999938964844,-0.5279811961908223,-10.374591628023296,9.26198676060136,0,0,0,1981
115.4000015258789,1602.2999954223633,115.76175907777103,105.77135220461355,126.2359114607645,1602.2999954223633,1602.2999954223633,1602.2999954223633,-0.36175755189212566,-10.835909934885592,9.628649321265357,0,0,0,1982
110.80000305175781,1713.099998474121,111.06037348375995,101.09013790526893,120.68863578957658,1713.099998474121,1713.099998474121,1713.099998474121,-0.2603704320021336,-9.888632737818767,9.70986514648888,0,0,0,1983
104.80000305175781,1817.900001525879,106.09228452502771,95.56758811073632,115.92395188722622,1817.900001525879,1817.900001525879,1817.900001525879,-1.2922814732698953,-11.123948835468411,9.232414941021489,0,0,0,1984
102.80000305175781,1920.7000045776367,103.00663887437773,92.37728144838293,113.720585380364,1920.7000045776367,1920.7000045776367,1920.7000045776367,-0.20663582261991564,-10.920582328606187,10.422721603374882,0,0,0,1985
99.69999694824219,2020.400001525879,99.75057251165664,89.56846264011739,109.91637755395487,2020.400001525879,2020.400001525879,2020.400001525879,-0.050575563414454905,-10.216380605712686,10.131534308124799,0,0,0,1986
97.5,2117.900001525879,96.37588599595284,85.81828605356624,106.9185574526433,2117.900001525879,2117.900001525879,2117.900001525879,1.1241140040471578,-9.418557452643299,11.68171394643376,0,0,0,1987
90.0999984741211,2208,92.05842820681715,80.65614326138922,103.75036302870134,2208,2208,2208,-1.958429732696061,-13.65036455458025,9.443855212731876,0,0,0,1988
82.4000015258789,2290.400001525879,87.69514248484175,76.76865306911623,99.88337971776701,2295.6951424848417,2284.768653069116,2307.883379717767,-5.295140958962847,-17.483378191888107,5.63134845676268,-5.295140958962747,-17.483378191888278,5.63134845676268,1989
77.80000305175781,2368.2000045776367,82.18766975943339,68.14931842414074,94.83607526730711,2377.882812244275,2355.9635970836357,2400.266634562615,-4.387666707675578,-17.036072215549297,9.650684627617068,-9.682807666638382,-32.066629984978135,12.236407494001014,1990
68.69999694824219,2436.900001525879,83.4496356905805,58.9746716989012,126.20260138283203,2461.3324479348557,2421.140114266512,2506.87246390846,-14.749638742338306,-57.50260443458984,9.72532524934099,-24.43244640897683,-69.97246238258094,15.759887259367133,1991
67.5,2504.400001525879,76.07879683935649,52.49939038662554,109.24539928377405,2537.4112447742123,2479.329197509223,2612.1110242570203,-8.578796839356485,-41.74539928377405,15.000609613374458,-33.01124324833336,-107.71102273114138,25.070804016655984,1992
63.400001525878906,2567.800003051758,73.42252553709694,48.10264931321211,108.20557369712323,2610.8337703113093,2532.330847113566,2699.06734128182,-10.022524011218039,-44.80557217124432,15.297352212666794,-43.033767259551496,-131.26733823006225,35.46915593819176,1993
58.599998474121094,2626.400001525879,76.71746377310414,54.800740114499895,102.77653367901686,2687.5512340844134,2591.716253808296,2793.151067603502,-18.11746529898305,-44.17653520489577,3.7992583596211986,-61.1512325585345,-166.7510660776229,34.68374771758272,1994
56.400001525878906,2682.800003051758,79.8604225002151,52.7186249239507,126.49245909809946,2767.4116565846284,2651.4963413645874,2910.8910010807017,-23.460420974336188,-70.09245757222055,3.681376601928207,-84.6116535328706,-228.0909980289439,31.30366168717046,1995
54.5,2737.300003051758,71.34798386111083,47.05265672093789,95.88910482638121,2838.759640445739,2710.4375050537874,2979.5449124591287,-16.847983861110833,-41.389104826381214,7.44734327906211,-101.45963739398121,-242.24490940737087,26.862497997970422,1996
53.79999923706055,2791.1000022888184,71.40044076069286,46.319829374728315,100.69447701795211,2910.160081206432,2773.0136807427198,3059.8250137923324,-17.600441523632313,-46.89447778089156,7.480169862332232,-119.06007891761374,-268.725011503514,18.08632154609859,1997
52.29999923706055,2843.400001525879,68.0874939721501,37.798476556234405,105.6274666995725,2978.2475751785823,2818.2162897355793,3156.5218405012583,-15.787494735089552,-53.32746746251195,14.501522680826142,-134.84757365270343,-313.12183897537943,25.18371179029964,1998
47.20000076293945,2890.6000022888184,65.24455197909333,31.02694792505109,117.26837163133877,3043.4921271576754,2859.775410403797,3243.1719120648013,-18.044551216153877,-70.06837086839931,16.173052837888363,-152.89212486885708,-352.57190977598293,30.824591885021164,1999
41.599998474121094,2932.2000007629395,42.58136646827231,-4.34160134088313,102.88789911251594,3086.073493625948,2864.1368594189657,3315.5936485086586,-0.9813679941512135,-61.287900638394845,45.941599815004224,-153.87349286300832,-383.39364774571914,68.06314134397371,2000
