geocode,year,mn,div,dist,pop91,rainm,rainsd,jamuna_m,padma_m,treat,smp1,treatd
10965.0,4.0,1.13,1.0,9.0,52040.0,67.340065,64.39126,272223.03,154119.55,0.0,0.0,0.0
10965.0,5.0,1.0466666,1.0,9.0,52040.0,70.152794,70.98195,272223.03,154119.55,0.0,0.0,0.0
10965.0,6.0,1.0166667,1.0,9.0,52040.0,63.378788,65.15821,272223.03,154119.55,0.0,0.0,0.0
10965.0,7.0,1.0,1.0,9.0,52040.0,69.23059,74.481895,272223.03,154119.55,0.0,0.0,0.0
10991.0,1.0,1.0,1.0,9.0,117700.0,72.11472,73.60875,245229.1,127125.0,0.0,0.0,0.0
10991.0,2.0,1.34,1.0,9.0,117700.0,62.325657,63.783154,245229.1,127125.0,0.0,0.0,0.0
10991.0,3.0,1.23,1.0,9.0,117700.0,66.927246,72.5082,245229.1,127125.0,0.0,0.0,0.0
10991.0,4.0,1.0833334,1.0,9.0,117700.0,65.99407,62.22714,245229.1,127125.0,0.0,0.0,0.0
10991.0,5.0,1.0,1.0,9.0,117700.0,68.874084,69.124306,245229.1,127125.0,0.0,0.0,0.0
10991.0,6.0,1.0,1.0,9.0,117700.0,62.034557,63.04993,245229.1,127125.0,0.0,0.0,0.0
10991.0,7.0,1.14,1.0,9.0,117700.0,67.688446,72.248276,245229.1,127125.0,0.0,0.0,0.0
14240.0,1.0,2.31,1.0,42.0,196890.0,58.486,56.496067,194454.81,81404.21,0.0,0.0,0.0
14240.0,2.0,2.63,1.0,42.0,196890.0,53.283184,51.787785,194454.81,81404.21,0.0,0.0,0.0
14240.0,3.0,3.425,1.0,42.0,196890.0,57.75365,58.557186,194454.81,81404.21,0.0,0.0,0.0
14240.0,4.0,2.99,1.0,42.0,196890.0,56.53681,52.058174,194454.81,81404.21,0.0,0.0,0.0
14240.0,5.0,2.1599998,1.0,42.0,196890.0,60.79795,60.264606,194454.81,81404.21,0.0,0.0,0.0
14240.0,6.0,2.7633333,1.0,42.0,196890.0,53.039227,51.982544,194454.81,81404.21,0.0,0.0,0.0
14240.0,7.0,2.895,1.0,42.0,196890.0,56.99997,58.734093,194454.81,81404.21,0.0,0.0,0.0
14243.0,1.0,1.05,1.0,42.0,123350.0,63.399235,62.62426,222007.36,111763.695,0.0,0.0,0.0
14243.0,2.0,1.3066667,1.0,42.0,123350.0,55.90219,55.130154,222007.36,111763.695,0.0,0.0,0.0
