year,Cluster,Division,District,rural,female,age5,age60,Age,hsize,DrinkWater,Toilet,Electricity,Floor,Roof,padma_m,jamuna_m,treat,smp1,yr
6.0,3.0,1.0,4.0,0.0,0.55263156,0.114035085,0.02631579,26.18421,4.8421054,0.03846154,0.115384616,1.0,0.6923077,1.0,137845.23,247795.16,0.0,0.0,1.0
7.0,5.0,1.0,4.0,1.0,0.4680851,0.07446808,0.18085106,33.744682,8.425532,0.0,0.0,0.23076923,0.07692308,1.0,137845.23,247795.16,0.0,0.0,1.0
5.0,3.0,1.0,4.0,1.0,0.48235294,0.14705883,0.08235294,25.782352,7.964706,0.0,0.0,0.0,0.0,0.96428573,137845.23,247795.16,0.0,0.0,1.0
7.0,6.0,1.0,4.0,1.0,0.49612403,0.11627907,0.1007752,28.829458,9.751938,0.0,0.0,0.0,0.071428575,0.96428573,137845.23,247795.16,0.0,0.0,1.0
1.0,107.0,1.0,4.0,1.0,0.52970296,0.17821783,0.05940594,21.742575,6.207921,0.0,0.0,0.0,0.0,0.16666667,137845.23,247795.16,0.0,0.0,0.0
5.0,12.0,1.0,6.0,1.0,0.464,0.152,0.088,25.192,5.56,0.0,0.0,0.05263158,0.05263158,1.0,66725.055,182398.97,0.0,0.0,1.0
6.0,26.0,1.0,6.0,1.0,0.5069444,0.097222224,0.104166664,27.055555,5.5972223,0.0,0.0,0.33333334,0.0,1.0,66725.055,182398.97,0.0,0.0,1.0
5.0,9.0,1.0,6.0,1.0,0.48591548,0.112676054,0.06338028,25.133802,5.7042255,0.0,0.2857143,0.75,0.25,1.0,66725.055,182398.97,0.0,0.0,1.0
4.0,2.0,1.0,6.0,1.0,0.47398844,0.1618497,0.046242774,23.51445,6.5606937,0.027777778,0.027777778,0.6111111,0.055555556,1.0,66725.055,182398.97,0.0,0.0,1.0
7.0,68.0,1.0,6.0,0.0,0.5269461,0.08982036,0.14371258,32.371258,12.922155,0.0,0.3030303,1.0,0.75757575,1.0,66725.055,182398.97,0.0,0.0,1.0
5.0,7.0,1.0,6.0,1.0,0.5514706,0.18382353,0.09558824,25.691177,5.4558825,0.0,0.04,0.56,0.08,1.0,66725.055,182398.97,0.0,0.0,1.0
6.0,20.0,1.0,6.0,0.0,0.484375,0.1484375,0.09375,27.1875,5.15625,0.16666667,0.5,1.0,0.875,1.0,66725.055,182398.97,0.0,0.0,1.0
6.0,11.0,1.0,6.0,1.0,0.5112782,0.09022556,0.17293233,31.533834,5.6165414,0.0,0.0,0.45,0.05,1.0,66725.055,182398.97,0.0,0.0,1.0
2.0,5.069421e+06,1.0,6.0,1.0,0.43157893,0.2,0.094736844,22.578947,5.7789474,0.0,0.0,0.35,,0.7,66725.055,182398.97,0.0,0.0,0.0
6.0,22.0,1.0,6.0,0.0,0.49612403,0.17054264,0.046511628,23.341085,5.248062,0.0,0.31034482,0.9310345,0.4827586,1.0,66725.055,182398.97,0.0,0.0,1.0
2.0,5.066287e+06,1.0,6.0,1.0,0.537037,0.17592593,0.046296295,22.333334,6.314815,0.0,0.0,0.35,,0.75,66725.055,182398.97,0.0,0.0,0.0
4.0,7.0,1.0,6.0,1.0,0.48255813,0.1744186,0.058139537,22.976744,7.162791,0.07317073,0.09756097,0.09756097,0.09756097,1.0,66725.055,182398.97,0.0,0.0,1.0
5.0,11.0,1.0,6.0,1.0,0.51492536,0.14179105,0.06716418,24.686567,5.373134,0.0,0.04347826,0.5652174,0.0,0.95652175,66725.055,182398.97,0.0,0.0,1.0
7.0,13.0,1.0,6.0,1.0,0.516129,0.14838709,0.11612903,28.374193,12.941936,0.0,0.041666668,0.9166667,0.125,1.0,66725.055,182398.97,0.0,0.0,1.0
7.0,10.0,1.0,6.0,1.0,0.48447204,0.11801242,0.1552795,30.273293,12.062112,0.0,0.035714287,0.32142857,0.0,1.0,66725.055,182398.97,0.0,0.0,1.0
4.0,4.0,1.0,6.0,1.0,0.48128343,0.16042781,0.10695187,25.57754,7.5882354,0.028571429,0.028571429,0.6571429,0.028571429,1.0,66725.055,182398.97,0.0,0.0,1.0
5.0,13.0,1.0,6.0,1.0,0.51111114,0.11111111,0.096296296,28.533333,5.3703704,0.0,0.0,0.0,0.0,1.0,66725.055,182398.97,0.0,0.0,1.0
5.0,36.0,1.0,6.0,0.0,0.50793654,0.07936508,0.103174604,27.86508,5.142857,0.32,0.84,0.96,0.44,1.0,66725.055,182398.97,0.0,0.0,1.0
2.0,5.066959e+06,1.0,6.0,1.0,0.47457626,0.22033899,0.050847456,22.101694,7.2711864,0.0,0.0,0.25,,0.95,66725.055,182398.97,0.0,0.0,0.0
6.0,28.0,1.0,6.0,1.0,0.43165466,0.1438849,0.086330935,26.446043,5.6330934,0.0,0.0,0.5769231,0.0,1.0,66725.055,182398.97,0.0,0.0,1.0
3.0,119.0,1.0,6.0,1.0,0.48850575,0.15517241,0.057471264,21.62069,6.172414,0.0,0.033333335,0.2413793,0.033333335,0.73333335,66725.055,182398.97,0.0,0.0,0.0
6.0,12.0,1.0,6.0,1.0,0.48412699,0.12698413,0.11904762,27.452381,5.5238094,0.0,0.041666668,0.20833333,0.0,1.0,66725.055,182398.97,0.0,0.0,1.0
