former_dis,dist,year,div,yld,pop91,rainm,rainsd,jamuna_m,padma_m,treat,smp1,treatd
19,19.0,8.0,5.0,4.085166666666667,138508860.0,35.987896,38.253193,114846.84,205826.95,1.0,1.0,0.0
21,21.0,1.0,5.0,2.5269643130018684,166824420.0,67.38562,69.44879,159204.67,276315.5,1.0,1.0,0.0
21,21.0,2.0,5.0,2.709103952364264,166824420.0,53.44619,60.35631,159204.67,276315.5,1.0,1.0,0.0
21,21.0,3.0,5.0,2.8123407326338317,166824420.0,56.638252,62.50786,159204.67,276315.5,1.0,1.0,0.0
21,21.0,4.0,5.0,3.108714338597123,166824420.0,63.157757,63.169266,159204.67,276315.5,1.0,1.0,0.0
21,21.0,5.0,5.0,3.0585344177265013,166824420.0,70.186874,71.49335,159204.67,276315.5,1.0,1.0,0.0
21,21.0,6.0,5.0,3.523503826289208,166824420.0,65.10525,68.4749,159204.67,276315.5,1.0,1.0,0.0
21,21.0,7.0,5.0,3.8501999999999996,166824420.0,61.618114,66.09759,159204.67,276315.5,1.0,1.0,0.0
21,21.0,8.0,5.0,3.7103333333333333,166824420.0,61.914383,67.04091,159204.67,276315.5,1.0,1.0,0.0
23,23.0,1.0,3.0,2.7498143384391143,63165900.0,53.632576,49.76834,30268.465,104497.05,0.0,,1.0
23,23.0,2.0,3.0,2.8635702940905112,63165900.0,43.94292,43.607246,30268.465,104497.05,0.0,,1.0
23,23.0,3.0,3.0,2.728119322496554,63165900.0,44.073612,43.1435,30268.465,104497.05,0.0,,1.0
23,23.0,4.0,3.0,2.7973940192322897,63165900.0,51.996452,50.097126,30268.465,104497.05,0.0,,1.0
23,23.0,5.0,3.0,3.4605456993432706,63165900.0,51.979034,47.867134,30268.465,104497.05,0.0,,1.0
23,23.0,6.0,3.0,3.7364975805627023,63165900.0,54.760506,52.876205,30268.465,104497.05,0.0,,1.0
23,23.0,7.0,3.0,3.9356666666666666,63165900.0,47.859337,45.041553,30268.465,104497.05,0.0,,1.0
23,23.0,8.0,3.0,3.970333333333333,63165900.0,48.767933,48.707436,30268.465,104497.05,0.0,,1.0
