"Time","Level","Estimate","Std.Error","lower_bound","upper_bound"
7,"C01",6.40559266617212,8.21340882356652,-9.61104082166965,22.1711345496014
NA,"C01",4.7558215802936,6.03993898341386,-7.19617778021327,16.3220663335039
-31,"C02",NA,NA,NA,NA
-30,"C02",NA,NA,NA,NA
-29,"C02",NA,NA,NA,NA
-28,"C02",NA,NA,NA,NA
-27,"C02",NA,NA,NA,NA
-26,"C02",NA,NA,NA,NA
-25,"C02",-0.0438215419808738,0.312946710671505,-0.505809299135016,0.60881972308399
-24,"C02",0.0120239491397047,0.343289053271336,-0.556209762196443,0.671608359468322
-23,"C02",0.160802872407814,0.168610494008941,-0.153104089097937,0.505706423525009
-22,"C02",0.358076225033953,0.463131030573704,-0.633122383820171,1.24297271375666
-21,"C02",0.0773028248898502,0.137991051871928,-0.165910846313094,0.355345124823185
-20,"C02",-0.0393597453158989,0.0962650583206675,-0.219804600907193,0.143838188121823
-19,"C02",0.0676108992620605,0.127517486409567,-0.136816237683782,0.318750970063273
-18,"C02",-0.0919738313633367,0.263597526948305,-0.53042406850309,0.462418206729324
-17,"C02",-0.156708458593586,0.186878532955939,-0.543264356383264,0.202161811203269
-16,"C02",-0.109023030628896,0.454016488554006,-0.95277271420932,0.789833926567824
-15,"C02",0.159802932463302,0.753280151880508,-1.38952733973366,1.50649246733216
-14,"C02",0.141135890528862,0.552246162976814,-0.998101658999045,1.07499066863388
-13,"C02",0.175306821586156,0.236475041826948,-0.32643809268074,0.630421244488295
-12,"C02",0.138353217988692,0.266546169076751,-0.414907163707251,0.64227510733919
-11,"C02",-0.0415092472080953,0.569139430039012,-1.08721118036764,1.03660470351385
-10,"C02",0.0627188011482325,0.608859175848358,-1.10168431549861,1.21262595723853
-9,"C02",0.210605305962693,0.290351832636883,-0.396602000548608,0.764898562702011
-8,"C02",0.0241060750527069,0.150394197693572,-0.275314255309838,0.293219059221085
-7,"C02",0.0187930818000126,0.294595275680448,-0.576225984881862,0.510783041865016
-6,"C02",-0.227954969496647,0.214093593356772,-0.659133261006165,0.180199894262513
-5,"C02",-0.24226944108433,0.318568562491719,-0.861425776642836,0.421463254530136
-4,"C02",-0.0656611194415149,0.186733813271231,-0.405825444477591,0.325111931685711
-3,"C02",-0.117540573648052,0.127408985665109,-0.37305689650646,0.127248581431718
-2,"C02",-0.391180697814656,0.370212131244316,-1.13022128963814,0.307444873092476
-1,"C02",-0.0796362406881439,0.179296654709694,-0.442589833209263,0.239604762462894
0,"C02",2.78666810328717,3.45006007491164,-4.18847686601211,9.38842701513956
1,"C02",3.17758124347409,3.76117064553408,-4.48698409124764,10.4822136785076
2,"C02",3.56064320321321,4.13379425487178,-4.87180769861807,11.6380878726905
3,"C02",4.20368510413424,4.8791171419538,-5.74640999081616,13.7562060439023
4,"C02",4.35186964808286,5.27143501439564,-6.3702688066162,14.5257296428142
5,"C02",4.5196973259348,5.60672159297152,-6.72104664289213,15.343493050826
6,"C02",4.87174389426121,6.38045082151388,-7.96603331850507,17.1538882276459
7,"C02",5.13117703432006,6.67866951118799,-8.27719278597209,17.990432812012
NA,"C02",4.07538319458845,5.01028343873272,-5.99999914138253,13.8000811744016
-31,"C03",NA,NA,NA,NA
-30,"C03",NA,NA,NA,NA
-29,"C03",NA,NA,NA,NA
-28,"C03",0.190480015395682,0.238876402814127,-0.286073601723185,0.666427324248506
-27,"C03",0.171918471621787,0.243762281917567,-0.306277567540223,0.645311368432785
-26,"C03",0.10177809621535,0.198970515132237,-0.315422749191352,0.475012962924374
-25,"C03",0.17281250454136,0.263186901569113,-0.331693436401219,0.680343247086467
-24,"C03",-0.0824752865752405,0.23313940967102,-0.53139303202386,0.355663698582842
-23,"C03",-0.183640423652735,0.203947827910932,-0.587505131614502,0.188375806430285
-22,"C03",0.385359723862083,0.468820434813787,-0.549229861707268,1.28427432263157
-21,"C03",-0.0779805636880191,0.280528125934815,-0.542336974080593,0.486376325304133
-20,"C03",0.0749499482457345,0.127775064512589,-0.147749417663653,0.331301103717738
-19,"C03",0.0842224514258376,0.175599248739806,-0.245115754081852,0.404384931094292
-18,"C03",-0.113057024861541,0.289210778970158,-0.654002758061958,0.415768461268046
-17,"C03",-0.0737383846290172,0.128951225683919,-0.317271261595278,0.17741236114329
-16,"C03",-0.241682375664293,0.255489160098559,-0.761184261845404,0.259148814636948
-15,"C03",-0.0406533522877144,0.0798786140140605,-0.212149678319372,0.0910263886880688
-14,"C03",0.149426837386208,0.304321132691343,-0.450199125058669,0.712067769497035
-13,"C03",0.138232962665437,0.256307139385038,-0.329068125875185,0.655825759621596
-12,"C03",-0.212394669597975,0.235737373925476,-0.700131840893709,0.203060234019974
-11,"C03",0.101051195824899,0.2312903372068,-0.383122841906643,0.482158091516888
-10,"C03",-0.0449172087976439,0.131354139474632,-0.293450499750464,0.222198886504901
-9,"C03",-0.144076297656479,0.270762449569009,-0.65682417170908,0.372769152250201
-8,"C03",0.139549594798936,0.176088237504574,-0.206330116395214,0.485036875157129
