"Time","Level","Estimate","Std.Error","lower_bound","upper_bound"
-13,"C01",NA,NA,NA,NA
-12,"C01",NA,NA,NA,NA
-11,"C01",NA,NA,NA,NA
-10,"C01",0.0243318229447187,0.183445386366043,-0.376623092147099,0.396556078226511
-9,"C01",-0.0789565861723673,0.227468581497272,-0.527954044453523,0.328322864033899
-8,"C01",-0.134000090150689,0.232136319615112,-0.531015052781991,0.337982849029584
-7,"C01",0.541778167972659,0.52131648321644,-0.462868281156085,1.66138755423115
-6,"C01",0.117510612170459,0.210013818072809,-0.313241629379481,0.505364808468111
-5,"C01",0.0177232160429561,0.386047684602319,-0.79111656598626,0.800083595599412
-4,"C01",0.0943144203832791,0.23188912044983,-0.357474325242941,0.485126948357912
-3,"C01",-0.385601581105115,0.437613068702933,-1.29080647614439,0.499860477779972
-2,"C01",0.120933884145334,0.493936833770216,-0.797037901895798,0.943718710111991
-1,"C01",-0.318033866231243,0.400670020441557,-1.07641379821671,0.482657998571012
0,"C01",0.426002445045006,0.471629230950557,-0.508204368694064,1.3913180061761
1,"C01",0.959536281678799,0.93468959894528,-0.897475025535865,2.7335060225284
2,"C01",0.735704128590594,0.86860759570235,-0.901869534469937,2.35327082207882
3,"C01",1.00331486691571,1.04775778197397,-0.934936023433158,3.02916752828818
4,"C01",1.05550880090369,1.29282487190529,-1.48798291005426,3.33963391469677
5,"C01",1.89002291794037,2.1522842086343,-2.26489376977253,5.96066755457381
6,"C01",2.50935480731963,2.96569585844787,-3.29168520736257,8.08104997542666
7,"C01",3.37574330654797,3.68287048078571,-3.61863882946999,10.4239229245525
NA,"C01",1.49439844436772,1.66156006839366,-1.68803067017448,4.63932849624685
-16,"C02",NA,NA,NA,NA
-15,"C02",NA,NA,NA,NA
-14,"C02",NA,NA,NA,NA
-13,"C02",NA,NA,NA,NA
-12,"C02",NA,NA,NA,NA
-11,"C02",NA,NA,NA,NA
-10,"C02",-0.180561376237282,0.320844040515631,-0.777935466631616,0.470976568172957
-9,"C02",0.00587949388565789,0.290365715759248,-0.477633504040882,0.483371182602024
-8,"C02",0.0822632200953901,0.136318719935362,-0.156676408597579,0.373555121414187
-7,"C02",0.0481510955903826,0.515204220468246,-0.835995884679006,0.947551255329307
-6,"C02",0.250689598720673,0.403202424757508,-0.517409434174034,1.05160162707455
-5,"C02",0.214941724677763,0.421395634547731,-0.666794754912001,0.973701666369266
-4,"C02",-0.191372406579408,0.192953238791335,-0.551135015281472,0.208334606330197
-3,"C02",0.193084848040987,0.35540669689387,-0.530336874758913,0.887611471422425
-2,"C02",-0.193024404696985,0.398029137236812,-0.918818329638422,0.591481486404286
-1,"C02",-0.230051793497182,0.490947991172989,-1.07576988162755,0.778157873289251
0,"C02",0.419394013631253,0.86383569899958,-1.38217675899985,1.79310665613513
1,"C02",0.0304701073761073,0.414577245243273,-0.788483936824439,0.845792840004518
2,"C02",0.302768190623226,0.580284376936148,-0.890168428903518,1.27980232976795
3,"C02",1.06948063162116,1.03849465642956,-0.989957529654096,2.9893514714255
4,"C02",1.13143001206295,1.32069153352507,-1.71078001812803,3.43618164160351
5,"C02",1.78716219363316,1.9894555531723,-2.25050742798392,5.47642824741991
6,"C02",2.18768276324783,2.44848480336641,-2.73101147729847,6.77000183281994
7,"C02",2.19314383617957,2.5846765166317,-2.93272159374348,6.73653945226526
NA,"C02",1.14019146854691,1.35592547790689,-1.55528930474104,3.55631826142827
-16,"C03",NA,NA,NA,NA
-15,"C03",NA,NA,NA,NA
-14,"C03",NA,NA,NA,NA
-13,"C03",-0.185203918265991,0.267748901509303,-0.710900346155643,0.339984909786207
-12,"C03",-0.150009325511686,0.173602370923817,-0.48517869023628,0.201366544803394
