"state","DxV","DyV","DxP","DyP","DxM","DyM"
5,0.00650586874999998,-0.0889537375,0.02276848125,-0.1031525625,-0.000305672916666668,-0.158552791666667
5,0.00910896666666666,-0.0299072375,0.0340841833333333,-0.0503692499999997,-0.00168383125,-0.0334686249999999
5,0.0207034333333334,-0.0351355541666667,0.0530511125000001,-0.0294343958333329,0.00330726249999999,-0.236922166666667
5,0.02826636875,0.00324411874999997,0.0577207145833332,-0.034809041666667,0.01176154375,-0.116675791666667
5,0.0431636,0.0284927166666666,0.0761242020833334,-0.00836564583333368,0.0243035104166667,0.325037354166667
5,0.0396427291666667,0.0200482729166667,0.0602921354166666,0.0155308125000004,0.03176918125,0.0900425624999998
5,0.0503239708333333,-0.0251166062499999,0.0696276916666669,-0.0524727500000003,0.042591025,-0.154376104166667
5,0.0457871458333332,-0.0872591166666667,0.0492761145833333,-0.0283927708333333,0.0433235145833333,0.0564161666666664
5,0.0491142812500001,-0.125047370833333,0.0439533770833331,0.0232446041666667,0.050568875,0.0567296666666669
5,0.0473199854166667,-0.0210239520833333,0.0384397145833334,-0.0183023125000001,0.0492530604166666,-0.146531604166667
5,0.0451464916666666,-0.0915940770833332,0.0314021416666669,-0.0772017499999997,0.0490044562500001,-0.0602051666666668
6,-0.00119965208333333,-0.00330695208333324,0.00463820833333333,-0.0161894791666667,-0.0016019875,0.136883270833333
6,0.00824876875,0.00633626249999985,0.02971468125,0.0175814375000003,-0.000290472916666668,0.0798682083333334
6,0.00780736666666666,0.0465587624999999,0.0328019833333333,0.0154907500000001,-0.00235313125,0.0898393749999999
6,0.0211042333333333,0.0762494458333333,0.0592232125000001,0.0118096041666665,0.00252946249999999,0.0994748333333333
6,0.03945296875,0.00251811875000019,0.0913187145833333,0.0181349583333331,0.01305404375,-0.186857791666667
6,0.0497727,-0.0644692833333334,0.100992002083333,-0.0137376458333332,0.0228469104166667,0.0957653541666667
6,0.0628664291666666,-0.0991417270833334,0.111963135416667,-0.0156551874999999,0.03913698125,-0.0799034374999997
6,0.0721802708333333,-0.0864406062499999,0.108943691666667,-0.05336975,0.055488025,0.138256895833333
6,0.0833723458333332,0.0183038833333332,0.115906114583333,-0.0220597708333331,0.0655729145833333,0.159285166666667
6,0.08201028125,-0.0931953708333332,0.100548377083333,-0.00517839583333334,0.076966975,-0.360080333333333
