Country_ISO,year,n_regions,GINIW,GINI_unw,diff
ITA,2000,20,0.02134395131600051,0.028158569727652464,-0.0068146184116519536
ITA,2005,20,0.0231092716047412,0.03131448097545674,-0.008205209370715543
ITA,2010,20,0.021439617903751755,0.02664462753248831,-0.005205009628736556
JOR,1997,12,0.06702614277228473,0.0902021729946165,-0.023176030222331764
JOR,2002,12,0.06424940518822973,0.08750516746250163,-0.023255762274271896
JOR,2010,12,0.06688084268981971,0.08559267320603592,-0.018711830516216207
JPN,1995,46,0.0584803142278945,0.04902851606530953,0.00945179816258497
JPN,2000,47,0.05863921747763137,0.04950677553201851,0.009132441945612864
JPN,2005,47,0.0635106021132536,0.05076917055159489,0.01274143156165871
JPN,2009,47,0.06027822558589339,0.05011703759458089,0.0101611879913125
KAZ,1995,14,0.030136801720310212,0.03620407255244771,-0.006067270832137497
KAZ,2000,14,0.03279390445075072,0.039222649412973785,-0.006428744962223065
KAZ,2005,14,0.02346537327682392,0.026027116757759282,-0.0025617434809353627
KAZ,2010,14,0.019452416232417453,0.02133814144357047,-0.0018857252111530165
KEN,2005,5,0.10248150113243196,0.13136848029701714,-0.028886979164585186
KGZ,1996,7,0.07661297217760045,0.11093725547645472,-0.03432428329885427
KGZ,2000,7,0.0664836210165207,0.09747037934478221,-0.03098675832826152
KGZ,2005,7,0.06703897695099201,0.09774622615290629,-0.030707249201914283
KOR,1995,13,0.05271484277118028,0.0560751075080076,-0.003360264736827323
KOR,2000,13,0.052031707319156885,0.05762914110140775,-0.005597433782250867
KOR,2005,13,0.050748222786837154,0.05882042214795862,-0.008072199361121468
KOR,2010,13,0.03990407678889083,0.04745691237298114,-0.007552835584090312
LKA,1995,9,0.0617030314337192,0.05727824774253517,0.004424783691184028
LKA,1999,9,0.0622168194963603,0.05773642805559703,0.004480391440763266
LKA,2005,9,0.055820424446969434,0.04709276515236787,0.008727659294601564
LKA,2010,9,0.05456665762318924,0.04593971266587474,0.008626944957314503
LSO,1996,6,0.049465467422065285,0.07813949539717815,-0.02867402797511287
LSO,2000,6,0.04536362415967345,0.06555518948005963,-0.020191565320386178
LTU,1995,10,0.023437479520345222,0.02638448154096343,-0.002947002020618209
LTU,2000,10,0.023670376669350904,0.02347391371460751,0.0001964629547433934
LTU,2005,10,0.02716381887004603,0.027865426445466013,-0.0007016075754199824
LTU,2010,10,0.02581427712350101,0.026379440578650055,-0.0005651634551490439
LVA,1995,26,0.079961346125085,0.043735849491290384,0.03622549663379462
LVA,2000,26,0.07391645403809702,0.03696513982563592,0.036951314212461096
LVA,2005,26,0.07499291240401111,0.03922939074489761,0.0357635216591135
MAR,2000,7,0.03815414663097082,0.038305281074589935,-0.00015113444361911782
MAR,2005,7,0.042906928690152814,0.04450975201592925,-0.0016028233257764368
MAR,2010,7,0.03935354638178002,0.04248855500055135,-0.0031350086187713275
MEX,1995,32,0.08391471063125741,0.07476748431879393,0.00914722631246348
MEX,2000,32,0.08105454473104097,0.07226273806786473,0.008791806663176235
MEX,2005,32,0.0820927006213886,0.07132055537643478,0.010772145244953818
MEX,2010,32,0.0753148380822435,0.0680770598284379,0.007237778253805602
MKD,2000,8,0.0379287810129296,0.030621732972856506,0.007307048040073091
MKD,2005,8,0.04124821039562371,0.03284805933935993,0.00840015105626378
MKD,2010,8,0.043833409658763305,0.033721938471112545,0.01011147118765076
MNG,1995,20,0.09187862038940409,0.0926504238636483,-0.0007718034742442148
MNG,2000,20,0.10623451544413498,0.10001333517181919,0.006221180272315788
MNG,2004,20,0.10576019940477491,0.09432325304918877,0.011436946355586133
MNG,2010,20,0.12069684754570856,0.11701881443030071,0.003678033115407847
MOZ,1996,10,0.06567022073548157,0.06451585995950322,0.0011543607759783442
MOZ,2000,10,0.06966293782748638,0.06690257538860052,0.0027603624388858605
MOZ,2005,10,0.06919000000868965,0.06526916619531756,0.0039208338133720905
MOZ,2009,10,0.07685658063822025,0.07198309817373671,0.004873482464483533
MYS,1995,12,0.0842287302198333,0.08234310310907104,0.0018856271107622613
MYS,2000,12,0.09230243580658849,0.09159109982329484,0.0007113359832936483
MYS,2005,12,0.09377150535585595,0.09503079764077314,-0.0012592922849171961
MYS,2010,12,0.08544011379739129,0.08722447437545158,-0.0017843605780602928
NGA,1992,4,0.09379456767218501,0.0905965383146392,0.0031980293575458174
NGA,2008,4,0.07787677422619904,0.07491031765479611,0.002966456571402931
NIC,2000,7,0.09486987884190691,0.08346290023133116,0.011406978610575755
NIC,2005,7,0.09726285908506024,0.08653604095997468,0.010726818125085566
NLD,1995,12,0.026332401704676902,0.0402549040762933,-0.013922502371616397
NLD,2000,12,0.030296116255441496,0.03836579273745919,-0.008069676482017691
NLD,2005,12,0.0318813742880268,0.03705366228478716,-0.005172287996760359
NLD,2010,12,0.02355693695738917,0.030691834812407948,-0.007134897855018779
NOR,1995,19,0.066464723841102,0.06114087778613058,0.0053238460549714164
NOR,2000,19,0.06665675624345187,0.06111304557029704,0.005543710673154831
NOR,2005,19,0.06357417023975213,0.05654991504635559,0.007024255193396542
NOR,2010,19,0.06534571191533717,0.058952519332166685,0.006393192583170483
NPL,1999,5,0.05864593383075696,0.0643231099061248,-0.005677176075367843
NPL,2006,5,0.052388468643644624,0.058369493224228776,-0.005981024580584152
PAK,1995,4,0.031767134247323824,0.06919345291448763,-0.0374263186671638
PAK,2000,4,0.03003011908314359,0.06158938951289552,-0.03155927042975193
PAK,2004,4,0.0313832349758251,0.0593066004171452,-0.027923365441320104
PAN,1996,9,0.054779117834552665,0.0820847042381046,-0.027305586403551935
PAN,2000,9,0.05335095082483956,0.0766581441791826,-0.023307193354343038
PAN,2005,9,0.0530537819102308,0.07723776108801354,-0.02418397917778274
PAN,2008,9,0.06447434253418934,0.0868911594998036,-0.02241681696561426
PER,1995,23,0.08261759329590448,0.07161465886473438,0.011002934431170106
PER,2001,23,0.08275980494842522,0.0677874435671903,0.014972361381234922
PER,2005,23,0.0816254569342942,0.06780107522839633,0.013824381705897865
PER,2010,23,0.07526200093592875,0.06481009615990574,0.010451904776023008
PHL,1992,7,0.10873947138324362,0.13061295716299193,-0.021873485779748306
PHL,1997,7,0.08273287704904667,0.10605156463256805,-0.02331868758352139
PHL,2006,7,0.08161132433821545,0.1084936321269429,-0.02688230778872744
PHL,2010,7,0.07095040787711941,0.09718717698070373,-0.026236769103584315
POL,1995,15,0.03482299016371595,0.03517925410770881,-0.0003562639439928586
POL,2000,15,0.029527677009863126,0.030322890096364515,-0.0007952130865013889
POL,2005,15,0.03157035234739952,0.0332967515771245,-0.0017263992297249786
POL,2010,15,0.020045701166675263,0.020862077107720846,-0.0008163759410455829
PRT,1995,5,0.0457309340320441,0.049857376159464006,-0.004126442127419909
PRT,2000,5,0.044382397864288034,0.0486096922543939,-0.004227294390105864
PRT,2005,5,0.04417082836697281,0.051488026981017766,-0.007317198614044958
PRT,2010,5,0.03855006833058055,0.046743534955912894,-0.008193466625332345
PRY,1992,18,0.15644282951807634,0.1359286775779604,0.020514151940115938
PRY,2002,18,0.13468580303589311,0.13027545786302552,0.004410345172867591
PRY,2008,18,0.12982430302762762,0.12613274656106904,0.003691556466558582
