Country_ISO,year,GINIW,GINIW_pred_GDP_pc
IRN,2000,0.05480683321112567,0.0525889471173286
IRN,2005,0.05390115624999442,0.0526893250644207
IRN,2010,0.05188056761086665,0.050838179886341
ITA,1995,0.020187548794952576,0.019446987658739
ITA,2000,0.02134395131600051,0.020763274282217
ITA,2005,0.0231092716047412,0.0216972846537828
ITA,2010,0.021439617903751755,0.0199065469205379
JOR,1997,0.06702614277228473,0.06072898209095
JOR,2002,0.06424940518822973,0.0581964515149593
JOR,2010,0.06688084268981971,0.0591918118298053
JPN,1995,0.0584803142278945,0.0516669042408466
JPN,2000,0.05863921747763137,0.0524058528244495
JPN,2005,0.0635106021132536,0.0546204037964344
JPN,2009,0.06027822558589339,0.0533586256206035
KAZ,1995,0.030136801720310212,0.0282598715275526
KAZ,2000,0.03279390445075072,0.0288529433310031
KAZ,2005,0.02346537327682392,0.0215008091181516
KAZ,2010,0.019452416232417453,0.0184320956468582
KEN,2005,0.10248150113243196,0.1051254421472549
KGZ,1996,0.07661297217760045,0.0780879408121109
KGZ,2000,0.0664836210165207,0.0686395466327667
KGZ,2005,0.06703897695099201,0.0685337111353874
KOR,1995,0.05271484277118028,0.0450150482356548
KOR,2000,0.052031707319156885,0.0442541055381298
KOR,2005,0.050748222786837154,0.0438123196363449
KOR,2010,0.03990407678889083,0.0329636484384536
LKA,1995,0.0617030314337192,0.0687028989195823
LKA,1999,0.0622168194963603,0.0704312250018119
LKA,2005,0.055820424446969434,0.0619402900338172
LKA,2010,0.05456665762318924,0.0603391677141189
LSO,1996,0.049465467422065285,0.0783029124140739
LSO,2000,0.04536362415967345,0.072150632739067
LTU,1995,0.023437479520345222,0.0234095528721809
LTU,2000,0.023670376669350904,0.0234622694551944
LTU,2005,0.02716381887004603,0.0241309944540262
LTU,2010,0.02581427712350101,0.0220622550696134
LVA,1995,0.079961346125085,0.0467330105602741
LVA,2000,0.07391645403809702,0.0412892587482929
LVA,2005,0.07499291240401111,0.0433281436562538
MAR,2000,0.03815414663097082,0.0668165162205696
MAR,2005,0.042906928690152814,0.0708131045103073
MAR,2010,0.03935354638178002,0.0662697181105613
MEX,1995,0.08391471063125741,0.0787230134010315
MEX,2000,0.08105454473104097,0.076318621635437
MEX,2005,0.0820927006213886,0.0775084868073463
MEX,2010,0.0753148380822435,0.0712662562727928
MKD,2000,0.0379287810129296,0.0342079363763332
MKD,2005,0.04124821039562371,0.037417858839035
MKD,2010,0.043833409658763305,0.0399136655032634
MNG,1995,0.09187862038940409,0.1386666744947433
MNG,2000,0.10623451544413498,0.149406224489212
MNG,2004,0.10576019940477491,0.1492206901311874
MNG,2010,0.12069684754570856,0.1625721901655197
MOZ,1996,0.06567022073548157,0.0623941496014595
MOZ,2000,0.06966293782748638,0.0650091096758842
MOZ,2005,0.06919000000868965,0.0676741749048233
MOZ,2009,0.07685658063822025,0.0726400688290596
MYS,1995,0.0842287302198333,0.0838930606842041
MYS,2000,0.09230243580658849,0.0897920355200767
MYS,2005,0.09377150535585595,0.0902622267603874
MYS,2010,0.08544011379739129,0.0829879865050315
NGA,1992,0.09379456767218501,0.1192558780312538
NGA,2008,0.07787677422619904,0.102440133690834
NIC,2000,0.09486987884190691,0.0968341454863548
NIC,2005,0.09726285908506024,0.1005786135792732
NLD,1995,0.026332401704676902,0.0271121989935636
NLD,2000,0.030296116255441496,0.0264619756489992
NLD,2005,0.0318813742880268,0.0286866780370473
NLD,2010,0.02355693695738917,0.0209187716245651
NOR,1995,0.066464723841102,0.064674898982048
NOR,2000,0.06665675624345187,0.0648640468716621
NOR,2005,0.06357417023975213,0.0633646100759506
NOR,2010,0.06534571191533717,0.0607045143842697
NPL,1999,0.05864593383075696,0.0532099194824695
NPL,2006,0.052388468643644624,0.0498429089784622
PAK,1995,0.031767134247323824,0.0428440384566783
PAK,2000,0.03003011908314359,0.0420703217387199
PAK,2004,0.0313832349758251,0.0425626449286937
PAN,1996,0.054779117834552665,0.0591785050928592
PAN,2000,0.05335095082483956,0.057668961584568
PAN,2005,0.0530537819102308,0.0562831833958625
PAN,2008,0.06447434253418934,0.0586736313998699
PER,1995,0.08261759329590448,0.0761171653866767
PER,2001,0.08275980494842522,0.0773362070322036
PER,2005,0.0816254569342942,0.0760879814624786
PER,2010,0.07526200093592875,0.0707529485225677
PHL,1992,0.10873947138324362,0.1472636461257934
PHL,1997,0.08273287704904667,0.1157059520483017
PHL,2006,0.08161132433821545,0.1153549998998642
PHL,2010,0.07095040787711941,0.0985827967524528
POL,1995,0.03482299016371595,0.033841285854578
POL,2000,0.029527677009863126,0.0290226135402917
POL,2005,0.03157035234739952,0.0311084054410457
POL,2010,0.020045701166675263,0.0204215254634618
PRT,1995,0.0457309340320441,0.0568102560937404
PRT,2000,0.044382397864288034,0.0530133098363876
PRT,2005,0.04417082836697281,0.0536513403058052
PRT,2010,0.03855006833058055,0.0474845357239246
PRY,1992,0.15644282951807634,0.1502613127231598
PRY,2002,0.13468580303589311,0.1254002749919891
PRY,2008,0.12982430302762762,0.118859201669693
ROU,1995,0.06056530837587172,0.0432106591761112
ROU,2000,0.05339243950634463,0.0384070947766304
ROU,2005,0.05764928136667044,0.0425743497908115
ROU,2010,0.0537516882036871,0.04081242531538
RUS,1995,0.06934589076369312,0.0851030200719833
RUS,2000,0.07109197718673799,0.0867535546422004
RUS,2005,0.07248765873968488,0.0909691601991653
RUS,2010,0.07032122033292797,0.084366850554943
SLV,1996,0.06939154033436383,0.0646229237318039
