bin,x,tau,se,ci_lower,ci_upper
10,0.18696306338385932,-0.07466279694332911,0.05034602333413592,-0.1733410026782355,0.024015408791577278
10,0.18752731879552206,NA,0.05034602333413592,NA,NA
11,0.18801389327124945,0.10404713865892923,0.04862030095718791,0.008751348782840923,0.19934292853501753
11,0.19725880831006973,0.10404713865892923,0.04862030095718791,0.008751348782840923,0.19934292853501753
11,0.19774538278579712,NA,0.04862030095718791,NA,NA
12,0.19820456183145918,-0.01971914025403443,0.04485312696737607,-0.10763126911009152,0.06819298860202266
12,0.20692896369903807,-0.01971914025403443,0.04485312696737607,-0.10763126911009152,0.06819298860202266
12,0.2073881427447001,NA,0.04485312696737607,NA,NA
13,0.20784641352910843,0.02378779068079595,0.046152293879902516,-0.06667070532381297,0.11424628668540487
13,0.21655355843286667,0.02378779068079595,0.046152293879902516,-0.06667070532381297,0.11424628668540487
13,0.217011829217275,NA,0.046152293879902516,NA,NA
14,0.21743995045858716,0.07869291344109541,0.05183883865335529,-0.022911210319480957,0.18029703720167178
14,0.22557425404351855,0.07869291344109541,0.05183883865335529,-0.022911210319480957,0.18029703720167178
14,0.22600237528483072,NA,0.05183883865335529,NA,NA
15,0.22639428906970555,0.12629257716007558,0.05149895560526416,0.025354624173757834,0.22723053014639333
15,0.23384065098232695,0.12629257716007558,0.05149895560526416,0.025354624173757834,0.22723053014639333
15,0.23423256476720175,NA,0.05149895560526416,NA,NA
16,0.23459653059641522,-0.06895357509485756,0.04926688178351459,-0.16551666339054616,0.02760951320083105
16,0.24151188135147095,-0.06895357509485756,0.04926688178351459,-0.16551666339054616,0.02760951320083105
16,0.24187584718068442,NA,0.04926688178351459,NA,NA
17,0.24227634214219593,-0.08849419385416901,0.04955807773513502,-0.18562802621503366,0.008639638506695621
17,0.24988574641091482,-0.08849419385416901,0.04955807773513502,-0.18562802621503366,0.008639638506695621
17,0.25028624137242633,NA,0.04955807773513502,NA,NA
18,0.2506984339820014,-0.010028456199608016,0.0457047717059669,-0.09960980874330314,0.0795528963440871
18,0.2585300935639276,-0.010028456199608016,0.0457047717059669,-0.09960980874330314,0.0795528963440871
18,0.2589422861735026,NA,0.0457047717059669,NA,NA
19,0.25932215130518355,0.08804375560410804,0.047381859089046935,-0.00482468821042395,0.18091219941864004
19,0.26653958880712114,0.08804375560410804,0.047381859089046935,-0.00482468821042395,0.18091219941864004
19,0.26691945393880206,NA,0.047381859089046935,NA,NA
20,0.2673076930500212,-0.021146399990543685,0.05366018005496498,-0.12632035289827503,0.08402755291718768
20,0.2746842361631847,-0.021146399990543685,0.05366018005496498,-0.12632035289827503,0.08402755291718768
20,0.27507247527440387,NA,0.05366018005496498,NA,NA
21,0.2754702322066776,0.02689117852436418,0.047939750206731,-0.06707073188082857,0.12085308892955693
21,0.2830276139198788,0.02689117852436418,0.047939750206731,-0.06707073188082857,0.12085308892955693
21,0.2834253708521525,NA,0.047939750206731,NA,NA
22,0.28382753095929586,-0.0633253450496305,0.052222430804173,-0.16568130942580958,0.03903061932654858
22,0.2914685729950193,-0.0633253450496305,0.052222430804173,-0.16568130942580958,0.03903061932654858
22,0.29187073310216266,NA,0.052222430804173,NA,NA
23,0.2922573468041798,0,0,0,0
23,0.299603007142506,0,0,0,0
23,0.299603007142506,NA,0,NA,NA
