"k","last_pre","horizon","SC","DSC","SDID (i)","SDID (ii)","SDID (iii)","MASC","ASCM"
71,"2012Q3",4,0.0145229508640367,0.0137297117855956,-0.000728565673758064,-0.000728565673758064,-0.000728565673758064,0.011593206850708,0.0134673951756836
72,"2012Q4",4,0.0129216670861192,0.0120772211003484,0.00324163877465278,0.00324163877465278,0.00324163877465278,0.0109990071099209,0.0120413375006834
73,"2013Q1",4,0.00924344192731308,0.00872491998174976,0.000687004386467767,-7.43655076048209e-05,0.000408482133551599,0.00768277825650276,0.00861381475990947
74,"2013Q2",4,0.00863783454646982,0.00809235004621466,0.00283106178797128,0.00282873329650213,0.00282873329650213,0.00703226060166651,0.00790957598836384
75,"2013Q3",4,0.00851818059584902,0.00792464185028597,0.00297977178614381,0.00423972585068544,0.00423972585068544,0.00702427285350893,0.00772990584127825
76,"2013Q4",4,0.00806983065392752,0.00745067119690076,0.0046660452729485,0.0046660452729485,0.0046660452729485,0.00633638689952365,0.00710959014089058
77,"2014Q1",4,-0.0159569518215375,-0.0158693919662195,-0.0187737866641793,-0.0187737866641793,-0.0187540354638525,-0.0155911211886404,-0.0167266252323888
78,"2014Q2",4,-0.0126009677682803,-0.012710365679387,-0.0164935435747005,-0.0169632402247494,-0.0169632402247494,-0.0124445316307379,-0.0134544999725522
79,"2014Q3",4,-0.0151213016805927,-0.0152284142088826,-0.0195834501572801,-0.0197482534237878,-0.0197514672436509,-0.0150551511482707,-0.0159557205383551
80,"2014Q4",4,-0.00997006678464557,-0.0103698007557451,-0.0143830822140905,-0.014429263831309,-0.0144305268938202,-0.00991827016484087,-0.0107668142779355
