cohort,country,omega
2010,Papua New Guinea,.0093989205
2010,Austria,.0092694527
2010,Thailand,.0090485821
2010,Dominican Republic,.0087378407
2010,Greece,.0079830261
2010,Cote d'Ivoire,.0078912871
2010,Cyprus,.0077803652
2010,Chile,.0075781876
2010,Lesotho,.0073388349
2010,Zambia,.0072796498
2010,Malaysia,.0072420551
2010,"Korea, Rep.",.0070557212
2010,"Yemen, Rep.",.0069884085
2010,Japan,.0062589664
2010,Denmark,.0062045148
2010,Turkey,.0061271037
2010,Costa Rica,.0057985201
2010,Tunisia,.0054449011
2010,New Zealand,.0050699278
2010,United Kingdom,.0049439794
2010,South Africa,.0044189128
2010,Senegal,.0041131801
2010,Poland,.0033116301
2010,Philippines,.003139202
2010,St. Vincent and the Grenadines,.0027784365
2010,Vietnam,.0027600252
2010,Argentina,.0019876342
2010,Germany,.0018951235
2010,Hungary,.0018457317
2010,Mauritius,.0012754643
2010,Cape Verde,.0012531219
2010,United Arab Emirates,.001156476
2010,France,.0010143532
2010,Uruguay,.00099916966
2010,Mozambique,.00093634613
2010,Lao PDR,.00083380012
2010,Namibia,.00039270526
2010,Spain,.000056617879
2012,Ireland,.082967386
2012,Cameroon,.080693297
2012,Guinea-Bissau,.076526493
2012,Norway,.070643187
2012,Finland,.061946049
2012,Trinidad and Tobago,.057587732
2012,Tonga,.054489251
2012,United States,.045048293
2012,"Iran, Islamic Rep.",.041722901
2012,Solomon Islands,.04059973
2012,Colombia,.038815141
2012,Lebanon,.038813833
2012,Benin,.036261722
2012,Indonesia,.031269666
2012,"Korea, Dem. Rep.",.027196288
2012,Sri Lanka,.026244687
2012,Russian Federation,.026011199
2012,Jamaica,.020808315
2012,Nicaragua,.019047512
2012,India,.017255511
2012,St. Vincent and the Grenadines,.015070239
2012,Zimbabwe,.014810067
2012,Austria,.013119949
2012,Brazil,.012055163
2012,"Yemen, Rep.",.010962059
2012,Kiribati,.010809557
2012,Israel,.0077942377
2012,Maldives,.007604321
2012,Sao Tome and Principe,.0054758508
2012,Belize,.0043947021
2012,Malawi,.0024792836
2012,Togo,.0014763698
2013,Botswana,.077328585
2013,Benin,.065783389
2013,"Korea, Dem. Rep.",.055818789
2013,Finland,.053738683
2013,Uruguay,.048792016
2013,Colombia,.043036282
2013,Solomon Islands,.039253969
2013,Jamaica,.039210897
2013,Grenada,.038957443
2013,Iceland,.036652956
2013,"Yemen, Rep.",.0359562
2013,"Iran, Islamic Rep.",.03545066
2013,Lebanon,.033428669
2013,Sri Lanka,.03332483
2013,India,.031282455
2013,Malaysia,.030814676
2013,United Arab Emirates,.027610637
2013,Belize,.026809312
2013,Suriname,.024207952
2013,Maldives,.022564713
2013,Zambia,.022061512
2013,Papua New Guinea,.020887995
2013,Panama,.019231183
2013,Togo,.016549515
2013,Denmark,.014294753
2013,Norway,.013900256
2013,Japan,.01244818
2013,Vietnam,.010735917
2013,Syrian Arab Republic,.010155464
2013,Cameroon,.0099343518
2013,Ireland,.0077794809
2013,Dominican Republic,.0065813367
2013,Zimbabwe,.0065520592
2013,Brazil,.0060605728
2013,United States,.0050233207
2013,Guinea-Bissau,.0049235942
2013,Malta,.004658218
2013,Switzerland,.0035092868
2013,Austria,.0031061508
2013,Tonga,.0015837388
