intercept_mgwr_cs,beta1_mgwr_cs,beta2_mgwr_cs,beta3_mgwr_cs,beta4_mgwr_cs,unit_id
20.487032066153237,3.4638611919752167,3.2327018511740033,3.4936736022960835,1.7135879010635635,85
19.192890531914465,4.460483855538013,3.497248758577566,3.86677836088302,2.595242527333138,86
18.67614508268544,4.954362152176199,3.6493100492777533,4.074101196969682,3.1038345155504485,87
18.417145201668678,5.156149334438173,3.7377392307841415,4.205292952305914,3.3889207103188386,88
18.212948067364458,5.2686467131523935,3.795481876802621,4.269685999861151,3.563794919344309,89
2.4196110692326336,3.1783476117975344,3.9808784896242306,3.1132411986922377,2.962688344798987,90
3.1119816737907726,3.0562516404634534,3.916534573578005,3.067305987217118,2.8343938442774563,91
4.33038607855924,2.8764325736167584,3.808252935320192,2.9961534636716327,2.6428824826018,92
6.2563234297336265,2.7195286396676708,3.5903192123766416,2.8827149628702307,2.3144149608353994,93
8.585983585342355,2.7790898852610173,3.217577771540653,2.717650948680952,1.9119759008873718,94
11.277721360605483,2.9442369928521734,2.8101222814014504,2.5083671889177226,1.486260678867345,95
14.832984876529906,2.705097309822903,2.456465974682353,2.374114031963301,1.0303927192154043,96
18.844510411797984,2.1597561604707822,2.2715276970569906,2.3669815675203334,0.5447328962283523,97
21.36161428490844,1.8897559664299466,2.3974533170215215,2.6075419035347047,0.5579372355237052,98
21.61962783603652,2.3532545663299307,2.804485736529607,3.0582824289418418,1.1240654742815221,99
20.430194109537247,3.513639965386453,3.1921834076613873,3.606387654104024,1.8419380303944528,100
19.3730803711194,4.412291174566275,3.4551419721151064,3.989161607154736,2.5686439206783653,101
18.917756874172582,4.867045180141625,3.5868524699791497,4.204812043688771,3.0764914485597155,102
18.77309562907579,5.068156094816405,3.670325829368295,4.3091751281015345,3.2976760990720297,103
18.62579572717366,5.170342385403791,3.732112185445735,4.368137867695408,3.4097761867454484,104
2.5563695875694386,3.0181430967631484,3.8750333592383255,3.208313753885017,2.9152765007584724,105
