unit_id,coord_i,coord_j,alpha_true,alpha_hat,se_alpha,t_stat,p_value,significant_5pct
58,4,14,46.289149134238635,44.68046782251965,0.3127990778490841,142.84079137879235,0.0,1
59,4,15,51.548454853771354,50.123916480303784,0.3257573954426733,153.8688520399979,0.0,1
60,5,1,2.0681731724173913,2.2908779668741515,0.2752526892611297,8.322817746208527,1.1102230246251565e-15,1
61,5,2,4.27892435387168,4.391897031640978,0.27634450384721543,15.892832933160696,0.0,1
62,5,3,6.642082744805096,6.60595978087447,0.27662781119432195,23.88031685011599,0.0,1
63,5,4,9.168155161948565,8.920953283311256,0.2779416858376138,32.096492674090214,0.0,1
64,5,5,11.868372752582685,11.534567248882853,0.276400149113198,41.73140747532282,0.0,1
65,5,6,14.75474092923811,14.629128170147904,0.277225746215944,52.769731418641754,0.0,1
66,5,7,17.840092746849468,17.566411263307025,0.2779610108706093,63.1973930742545,0.0,1
67,5,8,21.138145959682596,20.755568950169245,0.284703739082938,72.90234057699843,0.0,1
68,5,9,24.663564011715266,24.492145149085857,0.28131210235816784,87.06395830031637,0.0,1
69,5,10,28.43202123164027,27.84599822224818,0.28269850465568447,98.5006915977978,0.0,1
70,5,11,32.46027252235366,31.771599363425928,0.2891508009705256,109.87899482479575,0.0,1
71,5,12,36.76622785477404,35.78164551159249,0.29127272936709303,122.84584825137074,0.0,1
72,5,13,41.36903189719904,40.60445960082974,0.30383870281094566,133.6382074606691,0.0,1
73,5,14,46.289149134238635,45.2209068305126,0.30631763700321174,147.62749958807777,0.0,1
74,5,15,51.548454853771354,49.93612412073523,0.3188972721673868,156.59000085307764,0.0,1
75,6,1,2.0681731724173913,2.226239780558646,0.2769780566538124,8.037603438532187,8.215650382226158e-15,1
76,6,2,4.27892435387168,3.953418184909401,0.2756321535136606,14.343095079846936,0.0,1
77,6,3,6.642082744805096,7.107925122271795,0.27609527250363575,25.744465154426702,0.0,1
78,6,4,9.168155161948565,8.347107217901163,0.2749470148921723,30.358966512783198,0.0,1
79,6,5,11.868372752582685,11.841300592033088,0.27682209170277955,42.775851158392896,0.0,1
80,6,6,14.75474092923811,15.217928330232395,0.27894637116650095,54.55503244797162,0.0,1
81,6,7,17.840092746849468,17.736796175414575,0.2781788552394824,63.760403932013745,0.0,1
82,6,8,21.138145959682596,21.545911265546536,0.284908811241118,75.62388531154362,0.0,1
83,6,9,24.663564011715266,24.730994177058804,0.28155132534053007,87.83831561491397,0.0,1
84,6,10,28.43202123164027,27.18883480170408,0.285456553500835,95.24684043249528,0.0,1
85,6,11,32.46027252235366,31.305874338078198,0.29457849527896673,106.27345457933527,0.0,1
86,6,12,36.76622785477404,35.626137131723716,0.2957436373424506,120.46290311385845,0.0,1
87,6,13,41.36903189719904,40.00849499241304,0.3039365865363744,131.63434994235195,0.0,1
88,6,14,46.289149134238635,44.85191800603681,0.31558706154417837,142.1221699855971,0.0,1
89,6,15,51.548454853771354,50.428242146665134,0.3279968717549256,153.7461070188022,0.0,1
90,7,1,2.0681731724173913,2.1538304521272273,0.2756637081016977,7.813253572474753,4.04121180963557e-14,1
91,7,2,4.27892435387168,4.038169751438267,0.27745049363378554,14.554559620889906,0.0,1
92,7,3,6.642082744805096,6.403110831056207,0.2753118786294706,23.257662774782975,0.0,1
93,7,4,9.168155161948565,9.7863438302802,0.2764935333551553,35.394476360897976,0.0,1
94,7,5,11.868372752582685,11.662947211274274,0.278875307706799,41.82136922475883,0.0,1
95,7,6,14.75474092923811,14.92087433756482,0.2799347830113419,53.30125173105152,0.0,1
96,7,7,17.840092746849468,18.178263684568442,0.2786693548369348,65.23237438578624,0.0,1
97,7,8,21.138145959682596,21.692339300981335,0.2817223396826631,76.99900308018158,0.0,1
98,7,9,24.663564011715266,24.14876828967165,0.28335487892038896,85.22446615947085,0.0,1
99,7,10,28.43202123164027,28.579356844314976,0.28365883990873886,100.75256901392451,0.0,1
100,7,11,32.46027252235366,32.39627953545269,0.2911817075629741,111.25794888212997,0.0,1
101,7,12,36.76622785477404,35.41811692610456,0.29231835442012594,121.1628226231765,0.0,1
102,7,13,41.36903189719904,39.94609700233806,0.3033979517546868,131.6623819353816,0.0,1
103,7,14,46.289149134238635,45.32151448945701,0.3187399029541783,142.1896476387281,0.0,1
104,7,15,51.548454853771354,50.018292374435234,0.33704538880563956,148.40224502605125,0.0,1
105,8,1,2.0681731724173913,2.1103608380195955,0.2757586522752319,7.6529270092068264,1.2256862191861728e-13,1
106,8,2,4.27892435387168,3.799171100420058,0.27537719270329875,13.796244573214969,0.0,1
107,8,3,6.642082744805096,6.880535127398337,0.27642191678250977,24.891423977831607,0.0,1
108,8,4,9.168155161948565,9.298110604361188,0.2772523866337052,33.53662962925358,0.0,1
109,8,5,11.868372752582685,11.56769719448543,0.2761062984327752,41.895810635778986,0.0,1
110,8,6,14.75474092923811,14.78525265417295,0.2778399200585179,53.21500470867873,0.0,1
111,8,7,17.840092746849468,18.066467894241693,0.28210401786354883,64.0418666528184,0.0,1
112,8,8,21.138145959682596,21.138265576115238,0.28042271611529684,75.38000440529277,0.0,1
113,8,9,24.663564011715266,24.627271555072504,0.28469589302264087,86.50378231172441,0.0,1
114,8,10,28.43202123164027,28.17359821291803,0.28618136242882625,98.4466562525533,0.0,1
115,8,11,32.46027252235366,32.04195744935743,0.2890334199009911,110.85900537153616,0.0,1
116,8,12,36.76622785477404,36.6133812311721,0.29247297810988665,125.1855178819832,0.0,1
117,8,13,41.36903189719904,40.09541814677862,0.30178240017003144,132.86201622158185,0.0,1
118,8,14,46.289149134238635,44.66991305478875,0.3154876034205384,141.59007381106093,0.0,1
119,8,15,51.548454853771354,49.92693256356053,0.3188202199340715,156.59901550122783,0.0,1
120,9,1,2.0681731724173913,2.6561236222738875,0.2751688579746247,9.652704313359573,0.0,1
121,9,2,4.27892435387168,4.251169042238477,0.27506763032245657,15.454995694167692,0.0,1
122,9,3,6.642082744805096,7.15062109734122,0.27549127037350096,25.955889954867427,0.0,1
123,9,4,9.168155161948565,9.229237986562554,0.27611731306307025,33.42506083439407,0.0,1
124,9,5,11.868372752582685,11.955217034979771,0.2786102259612384,42.91018749844106,0.0,1
125,9,6,14.75474092923811,14.369094416280998,0.27814178473783635,51.66104197477788,0.0,1
126,9,7,17.840092746849468,17.902929670914187,0.28041573558708927,63.84424052891297,0.0,1
